Collision k, Collision time, Ball Position, Ball Color
1,116.98,(3-4),Red
2,134.32,(4-2),Green
3,142.88,(4-0),Green
4,148.2,(4-4),Green
5,149.32,(4-3),Red
6,162.96,(2-4),Green
7,168.68,(2-2),Green
8,170.54,(2-1),Red
9,179.26,(2-0),Green
10,184.92,(3-3),Green
11,197.02,(2-3),Red
12,199.82,(1-3),Green
13,205.28,(1-2),Red
14,207.94,(1-1),Green
15,211.36,(0-0),Green
16,216.74,(0-2),Green
17,219.08,(0-4),Green
18,242.3,(3-1),Green
