Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),58.198,Green, (0-1),6.932686,14.91493,31.35048,29.28762,1512.091,2192.981
1,Green,(0-1),2.600,Green, (0-2),4.32975,4.063509,18.61221,22.351,1188.88,3366.293
2,Green,(0-2),0.900,Green, (0-3),2.530153,1.057951,23.29857,18.81661,1573.085,4046.301
3,Green,(0-3),0.760,Green, (0-4),2.293052,1.005008,28.1255,24.63581,1235.612,1787.44
4,Green,(0-4),3.000,Green, (0-0),4.118174,1.765106,38.32354,31.62678,1779.657,2401.881
5,Green,(0-0),23.920,Green, (2-2),6.074667,10.63446,25.97131,21.7703,1301.018,1748.608
6,Green,(2-2),0.780,Red, (2-3),3.226868,1.1051,16.48418,14.98257,857.2118,1047.281
7,Red,(2-3),1.720,Green, (1-3),3.92489,3.310283,37.3172,34.05723,2129.676,4628.445
8,Green,(1-3),8.320,Green, (4-2),5.1937,3.741233,26.45778,22.37177,1278.357,1647.833
9,Green,(4-2),0.520,Green, (4-1),2.691086,0.9584094,24.95239,13.60008,1213.26,1236.986
10,Green,(4-1),0.860,Green, (4-0),2.766843,1.001692,24.29054,10.88537,1233.983,1332.002
11,Green,(4-0),3.080,Green, (3-1),4.304253,2.813588,22.79432,20.55802,1289.707,2679.417
12,Green,(3-1),1.800,Green, (4-3),3.536335,1.465739,28.15196,17.39617,1577.84,2711.062
13,Green,(4-3),1.000,Green, (4-4),2.525989,1.021114,21.86987,16.55204,1710.391,5809.827
