Collision k, Collision time, Ball Position, Ball Color
1,724.56,(2-2),Green
2,726.88,(1-2),Green
3,727.92,(0-2),Green
4,730.04,(0-1),Green
5,730.9,(0-0),Green
6,739.3,(2-0),Green
7,741.8,(2-1),Green
8,743.22,(1-0),Green
