Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),19.269,Green, (1-2),5.986665,6.984043,34.3788,34.88774,1668.422,3096.46
1,Green,(1-2),2.900,Green, (0-2),4.261043,4.526268,30.08603,21.96879,1747.033,4812.144
2,Green,(0-2),4.940,Green, (1-3),4.728695,10.29335,36.64003,30.68129,1753.708,2278.344
3,Green,(1-3),1.880,Green, (2-4),3.652543,1.316345,23.25418,13.86345,1161.319,1213.055
4,Green,(2-4),2.260,Green, (3-4),3.912197,2.069494,19.51789,13.35545,1611.498,7580.231
5,Green,(3-4),4.280,Green, (4-3),4.599515,4.190883,26.73716,19.44603,1285.576,1532.509
6,Green,(4-3),1.420,Green, (3-2),3.456941,1.807505,28.04511,14.62227,1969.191,6444.42
7,Green,(3-2),1.240,Green, (4-1),3.171861,1.319171,18.48701,12.96694,1000.753,1155.525
8,Green,(4-1),1.220,Red, (3-0),3.296765,1.281026,23.83539,17.55417,1199.952,1430.799
9,Red,(3-0),0.520,Red, (2-1),2.521023,1.061393,28.52567,17.13194,1280.402,1392.516
10,Red,(2-1),0.440,Red, (2-0),2.284826,1.093898,22.04066,10.76035,1283.559,1479.483
11,Red,(2-0),1.580,Green, (1-0),3.235626,3.717727,25.00528,20.26387,1654.33,4173.91
