Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),19.051,Green, (6-6),6.05578,20.22145,52.365,58.28522,2462.191,5027.791
1,Green,(6-6),3.380,Green, (6-4),4.219865,2.056929,16.07065,13.49774,789.2982,986.9517
2,Green,(6-4),3.720,Green, (6-2),4.460986,2.639973,18.61126,15.1046,1193.356,4279.081
3,Green,(6-2),6.300,Green, (6-0),4.844484,8.052005,32.23262,27.31413,1605.434,2555.549
4,Green,(6-0),1.780,Green, (5-1),3.839408,1.619363,14.94253,12.34437,754.9404,888.0634
5,Green,(5-1),1.320,Red, (5-0),3.297484,2.073507,13.71587,12.73396,1171.264,4494.068
6,Red,(5-0),1.580,Green, (4-0),3.583956,2.292969,11.82134,12.75118,580.218,816.235
7,Green,(4-0),2.700,Red, (4-1),4.015571,1.97683,11.07777,9.773859,580.9357,654.3686
8,Red,(4-1),1.400,Green, (3-1),3.611414,1.39704,9.474742,7.092707,559.8597,571.0066
9,Green,(3-1),2.300,Red, (3-0),3.838109,1.989399,12.60012,10.93099,671.7098,782.4414
10,Red,(3-0),1.120,Green, (2-0),3.514501,2.245019,17.75875,12.66978,1118.64,2278.487
11,Green,(2-0),1.520,Red, (2-1),3.483084,1.463098,11.45544,7.819839,656.5983,652.3133
12,Red,(2-1),2.340,Green, (1-1),3.909145,1.660166,6.329586,6.024087,364.3476,409.196
13,Green,(1-1),2.500,Red, (1-0),4.048825,3.540827,21.0848,17.14396,1000.222,1188.194
14,Red,(1-0),2.120,Green, (0-0),3.846637,2.834044,13.52231,11.3675,1023.131,3641.689
15,Green,(0-0),2.760,Green, (0-2),4.167789,3.40464,34.02167,25.03812,1582.482,1880.25
16,Green,(0-2),3.980,Green, (1-3),4.661489,3.930201,11.1657,12.57871,594.7814,838.4312
17,Green,(1-3),3.240,Green, (2-2),4.300193,3.264858,14.42857,12.15217,698.0871,838.9271
18,Green,(2-2),3.960,Green, (3-3),4.452316,3.38174,15.06316,13.22403,757.326,938.5229
19,Green,(3-3),1.360,Red, (3-2),3.361291,1.84386,12.64654,11.73862,855.0451,1872.772
20,Red,(3-2),3.540,Green, (4-2),4.546076,7.344854,22.41397,21.29676,1068.399,1497.573
21,Green,(4-2),4.240,Green, (5-3),4.562886,4.120349,17.38878,13.24568,947.7127,1387.91
22,Green,(5-3),2.900,Green, (4-4),4.20661,1.544147,6.8202,7.563369,447.2201,938.5651
23,Green,(4-4),2.640,Green, (5-5),4.100438,1.662806,8.704702,8.40533,467.0218,576.2306
24,Green,(5-5),1.980,Green, (4-6),3.975255,1.643957,11.87797,9.470025,690.1539,823.3853
25,Green,(4-6),0.620,Red, (4-5),2.188994,1.403862,14.00164,13.86086,746.7761,1133.426
26,Red,(4-5),3.360,Green, (3-5),4.327654,5.534347,18.39168,13.48162,995.9341,1789.145
27,Green,(3-5),1.640,Red, (3-6),3.511221,2.337098,16.65407,12.82691,858.1241,935.7797
28,Red,(3-6),1.720,Green, (2-6),3.617207,1.762447,10.18614,9.61436,600.4108,635.889
29,Green,(2-6),1.920,Red, (2-5),3.793993,1.339537,10.85305,9.022875,587.8243,590.6102
30,Red,(2-5),1.180,Green, (1-5),3.29728,2.06675,12.79239,11.40898,732.762,809.8303
31,Green,(1-5),1.320,Green, (2-4),3.488143,1.947225,19.92711,14.59271,1004.752,1102.681
32,Green,(2-4),2.860,Red, (1-4),4.164479,2.87429,17.06679,10.82144,873.0104,881.4597
33,Red,(1-4),0.760,Green, (0-4),3.098331,1.033267,13.60836,9.0453,926.8823,1515.432
34,Green,(0-4),1.780,Green, (0-6),3.614178,2.055621,33.85785,31.39038,2702.036,11165.05
