Collision k, Collision time, Ball Position, Ball Color
1,1061.38,(2-2),Green
2,1074.08,(2-1),Green
3,1079.06,(1-1),Green
4,1081.92,(0-1),Green
5,1083.9,(0-0),Green
6,1086.34,(0-2),Green
7,1089.64,(2-0),Green
