sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01660156,0.0,0.0,0.0
2,0.03320313,0.0,0.0,0.0
3,0.0501709,0.0,0.0,0.0
4,0.06665039,0.0,0.0,0.0
5,0.08337402,0.0,0.0,0.0
6,0.1000977,0.0,0.0,0.0
7,0.1166992,0.0,0.0,0.0
8,0.1333008,0.0,0.0,0.0
9,0.1499023,0.0,0.0,0.0
10,0.166626,0.0,0.0,0.0
11,0.1832275,0.0,0.0,0.0
12,0.2001953,0.0,0.0,0.0
13,0.2166748,0.0,0.0,0.0
14,0.2331543,0.0,0.0,0.0
15,0.25,0.0,0.0,0.0
16,0.2666016,0.0,0.0,0.0
17,0.2833252,0.0,0.0,0.0
18,0.2999268,0.0,0.0,0.0
19,0.3166504,0.0,0.0,0.0
20,0.333374,0.0,0.0,0.0
21,0.3498535,0.0,0.0,0.0
22,0.3665771,0.0,0.0,0.0
23,0.3833008,0.0,0.0,0.0
24,0.4002686,0.0,0.0,0.0
25,0.4165039,0.0,0.0,0.0
26,0.4332275,0.0,0.0,0.0
27,0.4499512,0.0,0.0,0.0
28,0.4682617,0.0,0.0,0.0
29,0.4831543,0.0,0.0,0.0
30,0.5003662,0.0,0.0,0.0
31,0.5166016,0.0,0.0,0.0
32,0.5332031,0.0,0.0,0.0
33,0.5500488,0.0,0.0,0.0
34,0.5666504,0.0,0.0,0.0
35,0.5831299,0.0,0.0,0.0
36,0.5999756,0.0,0.0,0.0
37,0.6168213,0.0,0.0,0.0
38,0.6333008,0.0,0.0,0.0
39,0.6499023,0.0,0.0,0.0
40,0.6665039,0.0,0.0,0.0
41,0.6832275,0.0,0.0,0.0
42,0.7000732,0.0,0.0,0.0
43,0.7165527,0.0,0.0,0.0
44,0.7351074,0.0,0.0,0.0
45,0.7498779,0.0,0.0,0.0
46,0.7664795,0.0,0.0,0.0
47,0.7832031,0.0,0.0,0.0
48,0.7999268,0.0,0.0,0.0
49,0.8164063,0.0,0.0,0.0
50,0.8331299,0.0,0.0,0.0
51,0.8499756,0.0,0.0,0.0
52,0.8665771,0.0,0.0,0.0
53,0.8833008,0.0,0.0,0.0
54,0.9000244,0.0,0.0,0.0
55,0.9165039,0.0,0.0,0.0
56,0.9332275,0.0,0.0,0.0
57,0.9499512,0.0,0.0,0.0
58,0.9664307,0.0,0.0,0.0
59,0.9831543,0.0,0.0,0.0
60,0.9996338,0.0,0.0,0.0
61,1.016479,0.0,0.0,0.0
62,1.033081,0.0,0.0,0.0
