Collision k, Collision time, Ball Position, Ball Color
1,119.22,(4-3),Green
2,120.56,(4-4),Green
3,121.78,(4-2),Green
4,122.56,(4-1),Green
5,123.56,(3-1),Green
6,124.44,(4-0),Green
7,126.98,(3-2),Red
8,127.66,(2-2),Green
9,128.8,(2-3),Red
10,129.62,(1-3),Green
11,130.44,(0-3),Green
12,131.08,(0-4),Green
13,132.2,(0-2),Green
14,133.72,(0-0),Green
15,134.64,(0-1),Green
