Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),1.249,Green, (6-4),3.660918,1.28081,34.92796,55.78903,1761.862,3513.515
1,Green,(6-4),0.740,Green, (6-5),3.028565,1.589873,41.73223,40.25629,2873.525,4808.121
2,Green,(6-5),1.320,Green, (4-6),3.368326,2.179408,57.21848,32.43795,2885.561,2938.586
3,Green,(4-6),0.380,Green, (5-6),2.331917,2.495486,54.57788,37.20292,6381.706,16098.47
4,Green,(5-6),0.500,Green, (6-6),2.382083,1.020508,27.47145,18.87902,2155.406,5060.396
5,Green,(6-6),1.440,Green, (3-6),3.465767,2.446414,50.48211,34.96301,2569.639,2830.78
6,Green,(3-6),0.620,Green, (2-6),2.744806,1.261096,31.08688,17.53097,1651.514,1499.915
7,Green,(2-6),0.720,Green, (0-6),2.942907,1.187042,39.94664,20.2201,1912.226,1847.919
8,Green,(0-6),0.900,Green, (1-6),3.07436,10.59053,30.76822,21.39272,1524.307,1611.217
9,Green,(1-6),1.120,Green, (0-5),3.172054,2.915162,40.62828,21.65681,2467.799,4996.153
10,Green,(0-5),0.540,Green, (0-4),2.543391,1.516304,33.52259,22.99537,1799.542,1620.499
11,Green,(0-4),0.320,Green, (0-3),1.517702,0.9655418,40.4546,21.20777,2030.249,2007.888
12,Green,(0-3),0.380,Green, (0-2),1.56191,0.9720719,35.27084,17.65779,1813.922,1715.585
13,Green,(0-2),2.620,Green, (0-1),3.864987,7.081934,35.46973,25.59735,1856.393,1881.033
14,Green,(0-1),0.800,Green, (0-0),2.951439,1.937698,27.4387,17.25748,1588.361,1544.664
15,Green,(0-0),0.920,Green, (1-0),2.976571,2.303005,29.31288,14.95478,2642.077,8964.676
16,Green,(1-0),0.380,Green, (2-0),2.298991,1.027369,38.4854,20.978,1782.345,1916.408
17,Green,(2-0),0.460,Green, (3-0),2.425977,1.003705,24.30337,12.21741,1275.766,1151.663
18,Green,(3-0),0.440,Green, (4-0),2.373982,1.013199,28.2863,16.44515,1260.2,1356.478
19,Green,(4-0),0.380,Green, (5-0),2.215022,0.9668301,37.17464,16.73556,1583.483,1572.956
20,Green,(5-0),0.540,Green, (6-0),2.626878,1.082911,25.13891,15.46614,3421.449,12731.07
21,Green,(6-0),0.200,Green, (6-1),1.345943,1.040956,42.82801,28.03806,11081.67,34571.99
22,Green,(6-1),0.420,Green, (6-2),1.872995,0.961344,25.181,23.77343,1485.064,2398.376
23,Green,(6-2),0.280,Green, (6-3),1.413759,0.9861044,49.98352,27.92089,4541.732,10446.38
