Collision k, Collision time, Ball Position, Ball Color
1,372.94,(4-4),Green
2,373.9,(4-3),Green
3,374.54,(4-2),Green
4,375.08,(4-1),Green
5,375.66,(4-0),Green
6,376.58,(3-0),Green
7,377.34,(2-0),Green
8,378.04,(1-0),Green
9,378.66,(0-0),Green
10,379.3,(0-1),Green
11,379.8,(0-2),Green
12,380.18,(0-3),Green
13,380.66,(0-4),Green
14,381.12,(1-4),Green
15,381.5,(2-4),Green
16,382.12,(3-4),Green
