Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.297,Green, (6-3),4.866256,1.671429,14.86132,40.91992,839.1781,3111.494
1,Green,(6-3),1.280,Green, (6-2),3.321444,1.651142,28.9604,16.45206,1701.364,1977.054
2,Green,(6-2),0.660,Green, (6-1),2.593139,2.694521,23.38422,28.93159,3693.471,15664.87
3,Green,(6-1),1.120,Green, (5-1),3.211118,2.188396,24.41516,16.65747,1381.422,1727.387
4,Green,(5-1),0.920,Green, (6-0),3.059932,1.462086,22.29433,16.99068,1217.278,1354.97
5,Green,(6-0),2.660,Red, (5-2),3.874614,1.727898,17.21387,13.99888,1050.614,1879.054
6,Red,(5-2),0.800,Green, (4-2),2.935899,1.360246,14.34392,11.34847,1555.059,5486.97
7,Green,(4-2),1.020,Red, (4-3),3.061013,1.905356,21.64673,17.24074,1167.276,1369.087
8,Red,(4-3),0.800,Green, (3-3),3.175766,1.673777,14.3184,12.30713,1044.668,1466.985
9,Green,(3-3),0.140,Green, (3-3),1.819899,1.180882,19.37808,20.24629,1675.913,1563.861
10,Green,(3-3),0.740,Red, (3-4),2.758494,1.289475,16.00821,9.600904,1440.153,3995.327
11,Red,(3-4),1.360,Green, (2-4),3.448196,1.71243,11.69935,9.411987,650.3657,658.4329
12,Green,(2-4),2.120,Green, (1-5),3.893508,1.508554,12.50467,9.089004,729.5793,670.4044
13,Green,(1-5),1.020,Green, (0-5),3.182347,1.167499,16.23491,10.21093,1057.752,1802.916
14,Green,(0-5),0.480,Green, (0-6),2.470428,1.382922,28.87899,15.71098,1439.114,1345.082
15,Green,(0-6),0.880,Green, (0-4),2.558605,1.564111,34.59391,21.2481,1567.046,1684.827
16,Green,(0-4),0.740,Green, (0-3),2.660828,1.216038,18.53538,13.62319,1817.101,5195.937
17,Green,(0-3),0.600,Green, (0-2),2.687319,1.167954,23.97217,18.57102,1430.815,1783.997
18,Green,(0-2),0.620,Green, (0-1),2.260322,1.009213,22.25233,11.59116,1189.978,1271.3
19,Green,(0-1),2.340,Green, (0-0),3.885117,2.548489,21.51864,11.70806,1107.365,915.488
20,Green,(0-0),4.280,Green, (6-6),4.31115,2.255109,58.70512,47.439,2851.702,3520.544
21,Green,(6-6),0.640,Green, (6-5),2.66675,1.695787,13.41085,11.57718,2354.379,10026.74
22,Green,(6-5),0.560,Green, (6-4),2.122877,1.023197,23.27492,12.61748,1042.823,1099.526
