Collision k, Collision time, Ball Position, Ball Color
1,67.88,(2-2),Green
2,68.62,(2-1),Green
3,69.18,(2-0),Green
4,70.5,(1-1),Green
5,72.12,(0-0),Green
6,76.12,(0-2),Green
