Collision k, Collision time, Ball Position, Ball Color
1,33.14,(4-2),Green
2,34.54,(4-0),Green
3,34.94,(4-1),Red
4,35.44,(3-1),Green
5,37.32,(3-0),Red
6,37.98,(2-0),Green
7,38.78,(2-1),Red
8,39.88,(1-1),Green
9,41.84,(0-0),Green
10,44.02,(0-2),Green
11,44.8,(0-3),Red
12,45.4,(0-4),Green
13,46.64,(1-3),Green
14,48.12,(1-2),Red
15,50.12,(2-2),Green
16,51.7,(3-3),Green
17,53.76,(4-4),Green
18,55.32,(2-4),Green
