Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.810,Green, (2-1),4.121295,2.626412,35.79783,35.91531,1827.86,2458.916
1,Green,(2-1),0.960,Green, (2-2),3.019418,1.664591,46.96067,24.70226,4793.18,20040.33
2,Green,(2-2),1.100,Green, (2-0),2.76275,1.3643,56.11119,35.45183,5009.833,21048.66
3,Green,(2-0),1.160,Green, (1-1),3.306238,1.338947,37.25515,20.84396,1973.581,1894.982
4,Green,(1-1),1.120,Green, (0-2),3.110248,1.024018,44.72177,19.8926,2030.037,2056.933
5,Green,(0-2),0.600,Green, (0-1),2.373967,2.466841,47.93344,32.57745,1970.356,2373.577
6,Green,(0-1),0.640,Green, (0-0),2.41319,0.9886594,62.10637,27.40754,3445.989,5049.1
