Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.116,Green, (4-4),4.354119,2.52776,50.50822,59.6264,2572.59,4016.075
1,Green,(4-4),0.960,Green, (4-3),2.827034,1.191398,24.27293,14.32053,1309.407,1638.067
2,Green,(4-3),0.640,Green, (4-2),2.070265,0.9729493,30.31625,14.83584,1374.255,1386.057
3,Green,(4-2),0.540,Green, (4-1),1.837156,0.9837973,33.78246,14.75541,2563.284,5338.706
4,Green,(4-1),0.580,Green, (4-0),1.622755,0.9858093,32.07083,14.87124,1292.9,1490.242
5,Green,(4-0),0.920,Green, (3-0),2.945767,1.468475,24.66895,12.93151,1514.134,2756.797
6,Green,(3-0),0.760,Green, (2-0),2.846158,1.017955,26.08079,10.28845,1180.593,1133.634
7,Green,(2-0),0.700,Green, (1-0),2.769962,1.00987,30.16267,11.62611,1403.708,1357.046
8,Green,(1-0),0.620,Green, (0-0),2.66467,1.019689,31.10091,12.30714,3888.868,15125.84
9,Green,(0-0),0.640,Green, (0-1),2.656777,1.392248,43.52489,22.23829,2033.441,2084.031
10,Green,(0-1),0.500,Green, (0-2),2.259643,1.051092,38.83353,21.30499,2195.684,2316.951
11,Green,(0-2),0.380,Green, (0-3),1.521028,0.9704832,50.6088,24.76136,3048.876,4408.258
12,Green,(0-3),0.480,Green, (0-4),1.770511,0.9731803,38.93576,20.79825,2974.641,7195.891
13,Green,(0-4),0.460,Green, (1-4),2.258817,1.302623,36.19726,18.89882,1651.451,1791.804
14,Green,(1-4),0.380,Green, (2-4),2.264057,0.9855376,47.99224,21.27394,2520.751,2381.675
15,Green,(2-4),0.620,Green, (3-4),2.663625,1.029778,33.17458,13.55102,1550.303,1451.179
