Collision k, Collision time, Ball Position, Ball Color
1,171.14,(4-2),Green
2,172.6,(3-2),Green
3,173.22,(3-3),Green
4,175.3,(4-4),Green
5,177.62,(2-4),Green
6,178.48,(1-4),Green
7,180.56,(0-2),Green
8,181.88,(1-1),Green
9,182.66,(2-1),Green
10,184.06,(1-0),Green
11,184.82,(0-0),Green
12,187.9,(4-0),Green
13,188.88,(3-0),Green
