Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.035,Green, (6-6),4.641327,1.941717,30.13677,65.30665,1425.232,3936.028
1,Green,(6-6),2.040,Green, (6-4),3.735137,2.648992,28.26073,21.12885,1498.233,1546.748
2,Green,(6-4),1.000,Green, (5-5),3.08886,1.210611,19.50622,12.99951,1039.642,1124.856
3,Green,(5-5),1.520,Green, (4-6),3.298753,1.220309,17.60257,13.66783,931.4853,1095.549
4,Green,(4-6),1.140,Red, (4-5),3.246043,1.551715,16.66179,15.76522,907.2401,1082.104
5,Red,(4-5),0.400,Green, (3-5),2.19061,1.063913,14.82498,7.803426,682.0696,636.4669
6,Green,(3-5),1.220,Red, (3-6),3.260562,1.747393,15.87005,9.709332,1195.358,2710.26
7,Red,(3-6),0.900,Green, (2-6),3.114496,1.454993,15.85445,15.40647,1812.085,6995.144
8,Green,(2-6),1.820,Red, (5-4),3.637741,1.235417,28.78026,20.33758,1415.517,1603.617
9,Red,(5-4),0.760,Green, (4-4),2.941535,1.328871,11.38787,7.018091,1519.327,6436.16
10,Green,(4-4),1.060,Green, (5-3),3.084124,1.40101,13.51241,8.52456,705.316,682.6898
11,Green,(5-3),0.940,Green, (6-2),2.850782,1.030012,20.56892,10.57265,1713.087,5791.415
12,Green,(6-2),2.100,Green, (5-1),3.753124,1.614459,11.6615,7.788206,666.9567,1129.151
13,Green,(5-1),1.060,Green, (6-0),3.12184,1.438211,16.09157,14.06819,830.9471,1046.102
14,Green,(6-0),0.960,Red, (6-1),2.766598,5.766986,18.4324,15.8421,1054.285,1414.6
15,Red,(6-1),1.180,Red, (5-2),3.09493,1.194066,20.8922,10.93764,1900.502,7477.66
16,Red,(5-2),0.780,Green, (4-2),2.701563,1.393474,12.48554,14.00503,636.649,800.2795
17,Green,(4-2),1.040,Red, (4-3),3.088447,2.008951,18.77998,12.30311,1067.013,1231.053
18,Red,(4-3),0.660,Green, (3-3),2.729654,1.238408,13.49532,9.615829,742.9165,743.5613
19,Green,(3-3),0.640,Red, (3-4),2.622504,1.063487,19.18422,19.44475,1138.902,1639.362
20,Red,(3-4),1.080,Green, (2-4),3.309717,1.932542,16.79463,11.43705,1222.803,2359.36
21,Green,(2-4),1.600,Green, (1-5),3.527941,1.44911,16.23091,9.933538,1206.899,3785.158
22,Green,(1-5),1.200,Red, (1-6),3.311456,1.549971,17.33278,13.93176,1539.165,5771.541
23,Red,(1-6),1.160,Green, (0-6),3.366441,1.79188,16.38355,10.49582,897.9482,816.5237
24,Green,(0-6),2.580,Red, (1-4),4.109293,2.569324,31.17418,18.07815,1613.574,1643.834
25,Red,(1-4),1.060,Green, (0-4),3.218159,2.783973,23.11179,14.39936,1439.019,2842.222
26,Green,(0-4),1.600,Green, (1-3),3.61771,2.998652,22.62016,12.56682,1453.592,2712.015
27,Green,(1-3),2.100,Green, (2-2),3.86921,1.286943,11.43404,8.367801,797.7665,1605.061
28,Green,(2-2),1.280,Green, (3-1),3.286463,1.10459,18.55171,9.701259,1977.85,9600.484
29,Green,(3-1),1.180,Green, (4-0),3.108795,1.250124,18.74591,9.676319,916.3644,897.1551
30,Green,(4-0),4.000,Green, (2-0),4.328677,2.346016,16.7262,14.31065,883.0723,990.9399
31,Green,(2-0),1.940,Green, (1-1),3.793408,1.527547,10.40716,8.110888,621.5912,592.1452
32,Green,(1-1),3.160,Green, (0-2),4.141012,1.614274,12.96265,8.634606,730.6784,657.3359
33,Green,(0-2),2.420,Green, (0-0),3.837619,1.838613,20.66078,17.69449,1186.523,1639.316
