Collision k, Collision time, Ball Position, Ball Color
1,87.46,(6-4),Green
2,88.2,(6-5),Green
3,89.52,(4-6),Green
4,89.9,(5-6),Green
5,90.4,(6-6),Green
6,91.84,(3-6),Green
7,92.46,(2-6),Green
8,93.18,(0-6),Green
9,94.07999,(1-6),Green
10,95.2,(0-5),Green
11,95.74,(0-4),Green
12,96.06,(0-3),Green
13,96.43999,(0-2),Green
14,99.06,(0-1),Green
15,99.86,(0-0),Green
16,100.78,(1-0),Green
17,101.16,(2-0),Green
18,101.62,(3-0),Green
19,102.06,(4-0),Green
20,102.44,(5-0),Green
21,102.98,(6-0),Green
22,103.18,(6-1),Green
23,103.6,(6-2),Green
24,103.88,(6-3),Green
