Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.223,Green, (4-2),4.416692,2.425244,31.13861,39.31422,2133.504,8065.516
1,Green,(4-2),1.460,Green, (3-2),3.633636,5.128191,37.11423,23.10284,1777.627,1735.245
2,Green,(3-2),0.620,Green, (3-3),2.527193,1.644368,37.65809,32.50976,9193.648,46917.94
3,Green,(3-3),2.080,Green, (4-4),3.565163,1.470835,23.14121,15.09524,1024.896,1019.715
4,Green,(4-4),2.320,Green, (2-4),3.860113,2.865753,44.82876,29.48654,2698.308,7119.937
5,Green,(2-4),0.860,Green, (1-4),2.940778,1.086232,25.57598,11.68237,1209.074,1071.866
6,Green,(1-4),2.080,Green, (0-2),3.613291,3.135327,63.25828,39.81649,2862.147,3243.918
7,Green,(0-2),1.320,Green, (1-1),3.305037,1.542987,30.18657,19.35224,1464.101,1501.907
8,Green,(1-1),0.780,Green, (2-1),2.86199,1.143719,23.89404,13.25922,1293.702,1216.897
9,Green,(2-1),1.400,Green, (1-0),3.359774,1.994166,28.841,19.33472,1476.967,1566.454
10,Green,(1-0),0.760,Green, (0-0),2.872445,1.017789,25.00897,11.47148,1842.03,4792.292
11,Green,(0-0),3.080,Green, (4-0),4.153834,1.788538,37.7671,28.25344,1866.684,2197.442
12,Green,(4-0),0.980,Green, (3-0),3.142395,2.07916,18.84043,11.52404,933.592,749.89
