Collision k, Collision time, Ball Position, Ball Color
1,478.96,(6-4),Green
2,479.68,(6-3),Green
3,480.46,(6-2),Green
4,480.98,(6-1),Green
5,481.5,(5-1),Green
6,482.12,(5-2),Green
7,482.64,(5-3),Green
8,483.24,(4-3),Green
9,484.24,(4-2),Green
10,485.02,(3-2),Green
11,487.14,(6-0),Red
12,488.42,(5-0),Green
13,491.7,(3-3),Red
14,492.4,(2-3),Green
15,493.7,(1-3),Green
16,494.36,(1-4),Green
17,494.98,(2-4),Green
18,496.48,(0-4),Green
19,498.58,(0-5),Green
20,501.04,(1-6),Green
21,503.22,(3-5),Green
22,504.64,(4-6),Green
23,509.82,(0-0),Green
24,510.88,(0-1),Red
25,511.46,(1-1),Green
