Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),7.549,Green, (6-4),5.191019,5.409594,21.06079,24.5895,1121.623,1731.249
1,Green,(6-4),0.720,Green, (6-3),2.754612,1.951399,21.62861,21.12626,1031.444,1309.863
2,Green,(6-3),0.780,Green, (6-2),2.629844,1.040878,18.05411,13.78149,852.8433,825.6954
3,Green,(6-2),0.520,Green, (6-1),2.12115,0.9971904,26.85784,19.5411,1375.963,1575.527
4,Green,(6-1),0.520,Green, (5-1),2.42394,1.72407,16.91768,14.49665,1693.18,5184.791
5,Green,(5-1),0.620,Green, (5-2),2.460104,1.661678,24.52637,16.48508,1230.008,1490.276
6,Green,(5-2),0.520,Green, (5-3),2.053855,1.019042,25.6267,13.48209,1177.587,1220.071
7,Green,(5-3),0.600,Green, (4-3),2.607289,1.305162,17.32336,13.42669,938.0164,1078.628
8,Green,(4-3),1.000,Green, (4-2),2.901236,2.579357,26.55411,21.26372,1469.852,1542.075
9,Green,(4-2),0.780,Green, (3-2),3.024376,1.396114,22.89635,12.82042,1241.265,1206.206
10,Green,(3-2),2.120,Red, (6-0),3.768482,1.497605,30.54807,22.87416,1514.958,1732.179
11,Red,(6-0),1.280,Green, (5-0),3.494664,1.744114,11.2451,7.396648,708.3955,655.6282
12,Green,(5-0),3.280,Red, (3-3),4.138056,1.600037,24.09561,17.49305,1224.863,1557.583
13,Red,(3-3),0.700,Green, (2-3),2.958187,1.210945,15.9736,15.5405,1195.354,2507.022
14,Green,(2-3),1.300,Green, (1-3),3.395853,1.814194,20.21829,12.62589,1122.022,1135.595
15,Green,(1-3),0.660,Green, (1-4),2.746997,2.597854,20.23183,18.2996,921.726,1091.991
16,Green,(1-4),0.620,Green, (2-4),2.755125,2.143094,22.1795,17.79114,2387.149,7773.833
17,Green,(2-4),1.500,Green, (0-4),3.475628,2.018343,23.87501,12.77782,1272.989,1465.912
18,Green,(0-4),2.100,Green, (0-5),3.807359,3.231611,24.50609,21.03466,1347.425,1744.283
19,Green,(0-5),2.460,Green, (1-6),3.885994,4.504667,34.44828,23.02777,1636.019,1786.253
20,Green,(1-6),2.180,Green, (3-5),3.896588,1.769764,18.11436,11.03324,996.4426,916.6682
21,Green,(3-5),1.420,Green, (4-6),3.2777,1.828395,15.08143,9.156486,816.8379,750.2538
22,Green,(4-6),5.180,Green, (0-0),4.442751,2.452058,44.5876,35.2052,2027.229,2592.598
23,Green,(0-0),1.060,Red, (0-1),3.215323,1.440778,16.23142,9.666974,1044.161,1083.586
24,Red,(0-1),0.580,Green, (1-1),2.708111,1.113241,12.86875,7.809483,2534.164,11266.58
