Collision k, Collision time, Ball Position, Ball Color
1,147.28,(2-2),Green
2,149.76,(1-1),Green
3,151.2,(2-0),Green
4,153.04,(1-0),Red
5,154.12,(0-0),Green
6,157.82,(0-2),Green
