sample,t,vx,vy,vz
134,2.232849,34.05676,32.11933,71.20078
135,2.249573,34.05676,32.11933,71.20078
136,2.266144,52.78579,-2.536697,42.34046
137,2.283508,55.40878,-2.452496,39.3535
138,2.299469,43.89755,-2.371123,45.07181
139,2.316223,30.97422,-2.101944,48.24337
140,2.332886,23.2506,-2.54923,54.33467
141,2.350006,23.2506,-2.54923,54.33467
142,2.36615,24.60658,1.67456,41.25871
143,2.382874,20.53078,0.3222062,22.96603
144,2.399475,12.04067,-0.1529348,11.40309
145,2.416046,15.72388,-1.76995,-1.691768
146,2.4328,9.445413,-13.27337,3.450448
147,2.449524,9.445413,-13.27337,3.450448
148,2.466431,1.1342,-22.98178,6.389303
149,2.482849,14.24372,-18.06135,4.235067
150,2.499573,18.9577,-24.13956,20.71084
151,2.516235,31.59051,-31.02153,33.58444
152,2.533356,47.23207,-39.42572,59.24654
153,2.549408,47.23207,-39.42572,59.24654
154,2.56604,51.72112,-50.69167,47.50506
155,2.582794,59.72157,-48.3514,40.69477
156,2.599548,56.15124,-37.24005,28.76904
157,2.61618,55.7879,-37.836,18.53533
158,2.632843,58.56899,-41.41236,19.67813
159,2.649567,58.56899,-41.41236,19.67813
160,2.66629,53.8327,-43.44779,1.121903
161,2.682922,40.7156,-52.21117,6.206375
162,2.699432,47.28712,-59.54462,6.155256
163,2.716125,50.23125,-54.36647,-3.895082
164,2.732819,39.19568,-53.39455,3.025592
165,2.74942,39.19568,-53.39455,3.025592
166,2.766113,20.67087,-52.95248,-5.470111
167,2.782898,23.16932,-50.3337,-3.804161
168,2.792572,16.60199,-36.46891,2.573632
169,2.799469,16.87843,-19.53216,0.2996898
170,2.816406,8.525507,-14.71019,1.333555
171,2.832825,8.525507,-14.71019,1.333555
172,2.849426,0.5669135,-8.210978,2.036834
173,2.866119,0.78906,-12.45255,2.853836
174,2.882751,-0.3020759,-16.25025,-1.092558
175,2.900055,1.049354,-17.07754,3.795334
176,2.916077,0.5687987,-9.230103,2.057248
177,2.932861,0.5687987,-9.230103,2.057248
178,2.950043,0.0002905396,-0.00473192,0.001050832
179,2.966034,0.2943384,-4.802705,1.064572
180,2.982727,-3.338052,-10.04213,-12.07316
181,2.999634,-1.325604,-3.543464,-4.794485
182,3.016052,-7.598411,-9.337017,1.280411
183,3.032806,-7.598411,-9.337017,1.280411
184,3.049469,-10.0577,-0.09879164,-5.308713
185,3.06601,-12.86053,3.480601,1.538113
186,3.082733,-13.3447,-0.01512297,-0.3938138
187,3.099487,-24.76537,2.426656,-4.644654
188,3.116119,-32.27896,0.6702835,3.896698
189,3.132843,-32.27896,0.6702835,3.896698
190,3.149536,-50.89597,4.711766,-6.02144
191,3.166199,-65.68835,-0.02872133,-2.123236
192,3.182739,-80.45411,-0.0169601,-2.608401
193,3.199463,-95.74521,0.01896105,5.43715
194,3.216003,-125.234,0.05726847,8.067221
195,3.232727,-125.234,0.05726847,8.067221
196,3.249359,-134.9528,0.2100353,-0.5737319
197,3.266083,-135.9839,0.2633016,-2.495618
198,3.282776,-138.2748,-0.6085474,11.0619
199,3.299438,-147.0814,-0.5711048,6.625434
200,3.316132,-161.2335,0.1100814,8.003509
201,3.332672,-161.2335,0.1100814,8.003509
202,3.349335,-127.1316,0.02933807,5.289598
203,3.366028,-131.2479,-1.083651,-6.478573
204,3.372559,-132.1973,-2.512396,2.886674
205,3.382751,-138.6646,-7.963757,-5.841938
206,3.399384,-122.6278,-8.654236,-0.1712524
207,3.416046,-122.6278,-8.654236,-0.1712524
208,3.432678,-108.9998,-11.63398,-9.061501
209,3.449402,-105.0164,-2.158218,-4.828422
210,3.466003,-95.8154,-0.02464843,-5.912812
211,3.482971,-83.62383,-0.0003874207,-6.131594
212,3.499481,-77.37292,-2.33539e-06,-6.441584
213,3.516052,-77.37292,-2.33539e-06,-6.441584
214,3.532837,-67.43967,-13.11027,-3.933318
215,3.549377,-93.56563,-0.1151615,-8.592989
216,3.566071,-79.92293,-0.1593341,-0.8434839
217,3.582703,-78.39207,-0.1029027,-4.195214
218,3.599396,-90.76648,-0.1289479,-4.664948
219,3.616089,-90.76648,-0.1289479,-4.664948
220,3.63269,-98.54651,-0.2062445,-0.3339873
221,3.649475,-99.07617,-0.1251366,-6.726656
222,3.666046,-91.00395,-0.03015194,-15.02596
223,3.682648,-88.81815,-0.002066148,-18.53555
224,3.69931,-61.27489,-3.418006,-20.37138
225,3.715973,-61.27489,-3.418006,-20.37138
226,3.732574,-44.07793,-16.38276,-7.017891
227,3.732697,-41.71981,-8.226484,-8.194143
228,3.74939,-35.13618,-2.934283,-7.984682
229,3.765991,-26.27228,-1.793962,-6.173975
230,3.782623,-21.74045,-13.63757,-2.500255
231,3.799316,-21.74045,-13.63757,-2.500255
232,3.815948,-23.84451,-21.77997,-1.478659
233,3.832611,-20.6558,-8.932736,-3.490079
234,3.850067,-18.42033,-0.3427297,-4.79248
235,3.866028,-12.30065,-0.296219,-0.4572482
236,3.88266,-1.936441,-0.003382731,-0.4836026
237,3.899658,-1.936441,-0.003382731,-0.4836026
238,3.915955,15.75367,-8.921892,6.020617
239,3.932678,45.54395,-9.670788,13.76061
240,3.949219,58.93731,-14.09622,25.5464
241,3.966034,75.23965,-12.05731,22.47914
242,3.982605,91.6933,-6.485316,40.08226
243,3.999634,91.6933,-6.485316,40.08226
244,4.015991,130.414,-0.08814207,55.15179
245,4.032684,152.1079,0.07665603,64.68364
246,4.049316,157.3672,0.607662,89.5807
247,4.06604,140.7362,1.139808,85.92468
248,4.082611,131.6869,1.553587,77.00396
249,4.099274,131.6869,1.553587,77.00396
250,4.115845,96.09248,3.44162,87.41251
251,4.132568,80.57793,-8.335998,90.86637
252,4.149902,54.37245,-6.563703,87.56562
253,4.165894,42.04351,-18.04978,88.81889
254,4.182648,35.20346,-26.47766,84.698
255,4.199402,35.20346,-26.47766,84.698
256,4.215942,18.24812,-40.10734,76.76112
257,4.232574,24.92893,-25.21841,78.79784
258,4.24942,24.13952,-9.371566,78.69974
259,4.266205,12.70613,-3.988019,80.0408
260,4.282623,12.70613,-3.988019,80.0408
261,4.299225,12.82645,9.23748,62.80674
262,4.315918,17.77631,8.13567,52.93023
263,4.33255,3.093307,-8.643433,47.32762
264,4.332581,9.432488,-7.213054,35.6403
265,4.349213,3.382105,-5.387252,24.38038
266,4.365906,6.566294,-2.18539,28.68471
267,4.382568,6.566294,-2.18539,28.68471
268,4.399475,30.63194,4.866241,27.80424
269,4.415863,36.14759,6.347967,35.40051
270,4.432678,36.97882,-3.55673,32.40621
271,4.449219,43.11842,6.839582,46.65187
272,4.466125,43.11842,6.839582,46.65187
273,4.482544,54.0954,-1.179874,65.1964
274,4.499176,57.21127,6.432543,65.60828
275,4.515869,42.92067,5.874845,60.49964
276,4.532501,39.35053,12.91755,57.82489
277,4.549835,40.68777,12.56034,54.91983
278,4.565857,52.66593,16.28835,65.79302
279,4.58255,52.66593,16.28835,65.79302
280,4.599304,66.66788,15.80126,73.02723
281,4.615875,60.07719,7.801987,83.67206
282,4.63269,64.19161,13.64879,91.27966
283,4.649139,56.48047,20.15319,96.05835
284,4.665924,56.48047,20.15319,96.05835
285,4.682526,62.96508,3.588843,101.2788
286,4.699249,57.80738,-9.181967,87.84966
287,4.71582,42.9263,-5.532853,80.04165
288,4.732513,44.76436,-1.225,84.64046
289,4.749359,49.32293,5.655446,80.59544
290,4.765869,49.32293,5.655446,80.59544
291,4.782501,71.5255,5.527241,62.35205
292,4.799347,99.50063,5.356076,64.25572
293,4.816132,64.24535,-13.59521,66.99724
294,4.832458,67.00007,-22.62442,79.1121
295,4.849243,61.54872,-30.52116,85.04536
296,4.865814,61.54872,-30.52116,85.04536
297,4.882477,68.84566,-28.72061,83.49239
298,4.899261,53.72158,-33.97713,84.44023
299,4.915802,42.14772,-22.44288,73.00961
300,4.932495,42.89178,-17.73512,81.68633
301,4.94931,35.59926,-4.201162,67.99583
302,4.96579,35.59926,-4.201162,67.99583
303,4.982574,36.80862,1.81527,58.35055
304,4.992554,53.49692,3.698736,63.83715
305,4.999176,66.04138,4.046125,62.15099
306,5.0159,72.06595,-8.468675,56.5926
307,5.032532,64.22953,-24.22797,42.83355
308,5.049194,64.22953,-24.22797,42.83355
309,5.065765,6.110234,-22.92645,16.26113
310,5.082428,-30.16742,-2.309279,4.825154
311,5.099213,-73.28557,-12.13206,-22.91268
312,5.115784,-110.3718,11.26045,-31.25138
313,5.132477,-135.7469,15.50649,-41.62686
314,5.1492,-135.7469,15.50649,-41.62686
315,5.165802,-151.5557,31.82717,-25.9143
316,5.182465,-147.3856,25.75557,-19.09751
317,5.199097,-139.4181,10.9288,-22.52805
318,5.215759,-145.8237,4.439739,-21.68113
319,5.232513,-151.4987,-13.37594,-32.92087
320,5.249146,-151.4987,-13.37594,-32.92087
321,5.265747,-139.7759,4.237517,-21.70668
322,5.28241,-136.1712,10.09806,-29.4253
323,5.299255,-155.9655,9.098073,-34.52718
324,5.312561,-150.7295,1.178831,-32.93711
325,5.315765,-143.8783,-11.39777,-24.90856
326,5.332428,-143.8783,-11.39777,-24.90856
327,5.349182,-110.8458,-4.630763,-13.34965
328,5.365784,-106.2824,-6.53385,-17.94649
329,5.382446,-87.28875,-5.448275,-15.62307
330,5.399078,-80.14558,-6.208094,-17.42875
331,5.415802,-77.88848,-11.64626,-21.32136
332,5.432343,-77.88848,-11.64626,-21.32136
333,5.44928,-77.8906,-3.875503,-14.24909
334,5.465759,-77.85558,8.999289,-18.4699
335,5.482391,-92.88358,-1.525718,-28.12397
336,5.499176,-97.88458,-5.199507,-25.83871
337,5.515717,-88.65103,-10.15603,-32.04192
338,5.53244,-88.65103,-10.15603,-32.04192
339,5.549072,-96.4612,-1.690841,-16.43497
