sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.0167923,0.0,0.0,0.0
2,0.03366089,0.0,0.0,0.0
3,0.0500946,0.0,0.0,0.0
4,0.06664276,0.0,0.0,0.0
5,0.08343506,0.0,0.0,0.0
6,0.1002655,0.0,0.0,0.0
7,0.116684,0.0,0.0,0.0
8,0.1334534,0.0,0.0,0.0
9,0.1502304,0.0,0.0,0.0
10,0.1669464,0.0,0.0,0.0
11,0.1834335,0.0,0.0,0.0
12,0.2001343,0.0,0.0,0.0
13,0.2167435,0.0,0.0,0.0
14,0.2334137,0.0,0.0,0.0
15,0.2500534,0.0,0.0,0.0
16,0.2669296,0.0,0.0,0.0
17,0.2834473,0.0,0.0,0.0
18,0.3000031,0.0,0.0,0.0
19,0.3166504,0.0,0.0,0.0
20,0.3333893,0.0,0.0,0.0
21,0.350296,0.0,0.0,0.0
22,0.3666992,0.0,0.0,0.0
23,0.3833313,0.0,0.0,0.0
24,0.3998947,0.0,0.0,0.0
25,0.4167175,0.0,0.0,0.0
26,0.4334412,0.0,0.0,0.0
27,0.4501877,0.0,0.0,0.0
28,0.4672546,0.0,0.0,0.0
29,0.4835739,0.0,0.0,0.0
30,0.5000458,0.0,0.0,0.0
31,0.5166168,0.0,0.0,0.0
32,0.533783,0.0,0.0,0.0
33,0.5501785,0.0,0.0,0.0
34,0.5668411,0.0,0.0,0.0
35,0.583374,0.0,0.0,0.0
36,0.6001205,0.0,0.0,0.0
37,0.6166306,0.0,0.0,0.0
38,0.633522,0.0,0.0,0.0
39,0.6501465,0.0,0.0,0.0
40,0.666687,0.0,0.0,0.0
41,0.6835022,0.0,0.0,0.0
42,0.6999435,0.0,0.0,0.0
43,0.7168503,0.0,0.0,0.0
44,0.73349,0.0,0.0,0.0
45,0.7498245,0.0,0.0,0.0
46,0.7668076,0.0,0.0,0.0
47,0.783493,0.0,0.0,0.0
48,0.799881,0.0,0.0,0.0
49,0.816864,0.0,0.0,0.0
50,0.8334427,0.0,0.0,0.0
51,0.8499756,0.0,0.0,0.0
52,0.8666306,0.0,0.0,0.0
53,0.8836823,0.0,0.0,0.0
54,0.8999481,0.0,0.0,0.0
55,0.9167633,0.0,0.0,0.0
56,0.9335327,0.0,0.0,0.0
57,0.9499359,0.0,0.0,0.0
58,0.9668808,0.0,0.0,0.0
