sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01623535,0.0,0.0,0.0
2,0.03330994,0.0,0.0,0.0
3,0.04975891,0.0,0.0,0.0
4,0.0662384,0.0,0.0,0.0
5,0.0831604,0.0,0.0,0.0
6,0.09954834,0.0,0.0,0.0
7,0.1164703,0.0,0.0,0.0
8,0.1329498,0.0,0.0,0.0
9,0.1496429,0.0,0.0,0.0
10,0.1662903,0.0,0.0,0.0
11,0.1831512,0.0,0.0,0.0
12,0.1998138,0.0,0.0,0.0
13,0.2166138,0.0,0.0,0.0
14,0.233078,0.0,0.0,0.0
15,0.2497253,0.0,0.0,0.0
16,0.2663422,0.0,0.0,0.0
17,0.2828217,0.0,0.0,0.0
18,0.2996521,0.0,0.0,0.0
19,0.3162994,0.0,0.0,0.0
20,0.3331909,0.0,0.0,0.0
21,0.3499451,0.0,0.0,0.0
22,0.3664551,0.0,0.0,0.0
23,0.3834839,0.0,0.0,0.0
24,0.3998871,0.0,0.0,0.0
25,0.4163971,0.0,0.0,0.0
26,0.4329834,0.0,0.0,0.0
27,0.4496918,0.0,0.0,0.0
28,0.4663391,0.0,0.0,0.0
29,0.4830933,0.0,0.0,0.0
30,0.4996338,0.0,0.0,0.0
31,0.5160828,0.0,0.0,0.0
32,0.5330048,0.0,0.0,0.0
33,0.5497894,0.0,0.0,0.0
34,0.5662994,0.0,0.0,0.0
35,0.5827179,0.0,0.0,0.0
36,0.5997314,0.0,0.0,0.0
37,0.6161346,0.0,0.0,0.0
38,0.6331024,0.0,0.0,0.0
39,0.649704,0.0,0.0,0.0
40,0.6661682,0.0,0.0,0.0
41,0.6828308,0.0,0.0,0.0
42,0.6996155,0.0,0.0,0.0
43,0.7162933,0.0,0.0,0.0
44,0.7327728,0.0,0.0,0.0
45,0.7495728,0.0,0.0,0.0
46,0.7661743,0.0,0.0,0.0
47,0.7831573,0.0,0.0,0.0
48,0.7995453,0.0,0.0,0.0
49,0.8161774,0.0,0.0,0.0
50,0.8329773,0.0,0.0,0.0
51,0.8496094,0.0,0.0,0.0
52,0.8661804,0.0,0.0,0.0
53,0.8828278,0.0,0.0,0.0
54,0.8996735,0.0,0.0,0.0
55,0.9162292,0.0,0.0,0.0
56,0.9329071,0.0,0.0,0.0
57,0.949646,0.0,0.0,0.0
58,0.9662018,0.0,0.0,0.0
59,0.9829102,0.0,0.0,0.0
60,0.999588,0.0,0.0,0.0
61,1.016312,0.0,0.0,0.0
62,1.032776,0.0,0.0,0.0
63,1.049606,0.0,0.0,0.0
64,1.066345,0.0,0.0,0.0
65,1.082764,0.0,0.0,0.0
66,1.099518,0.0,0.0,0.0
67,1.116745,0.0,0.0,0.0
68,1.133072,0.0,0.0,0.0
69,1.149872,0.0,0.0,0.0
70,1.166214,0.0,0.0,0.0
71,1.18277,0.0,0.0,0.0
72,1.199661,5.332111,102.4219,64.28985
73,1.216278,0.3357867,105.9302,167.6803
74,1.232925,-9.960476,113.837,100.0319
75,1.249664,-16.63064,88.34801,68.16544
76,1.266113,-16.63064,88.34801,68.16544
77,1.282852,-5.489507,98.51295,80.90358
78,1.299713,-0.3345993,82.47409,57.03706
79,1.316452,1.003805,77.4765,52.95882
80,1.332764,3.729538,64.20826,60.41203
81,1.349304,13.21058,46.67462,79.67471
82,1.366348,13.21058,46.67462,79.67471
83,1.382904,28.64932,56.13957,69.54199
84,1.399307,40.92268,53.97183,85.70807
85,1.416199,61.4426,64.30629,107.2815
86,1.432663,86.32201,57.84739,144.3527
87,1.449188,94.80124,58.51983,150.4701
88,1.466141,94.80124,58.51983,150.4701
89,1.482849,90.3901,61.02802,150.632
90,1.499466,77.72408,72.28372,142.5762
91,1.51619,62.14624,85.16699,140.1273
92,1.53273,46.4242,101.5798,121.4002
93,1.549591,49.67473,118.9626,69.11951
94,1.56636,49.67473,118.9626,69.11951
95,1.582703,93.58733,102.4016,7.242921
96,1.599457,118.4299,62.79711,-10.87113
97,1.616241,137.817,26.53521,-17.37599
98,1.632843,137.6897,9.668309,-23.72293
99,1.649261,135.4805,0.131228,-26.64674
100,1.666046,135.4805,0.131228,-26.64674
101,1.682556,136.6936,7.139342,-38.56846
102,1.699539,133.3047,19.81535,-50.29891
103,1.716202,107.1275,41.59251,-44.13621
104,1.732788,72.55759,70.06258,-69.79954
105,1.749329,45.92121,93.11522,-64.7702
106,1.766144,45.92121,93.11522,-64.7702
107,1.782837,19.64231,142.5784,-48.2747
108,1.799713,-3.595143,168.7528,-37.20217
109,1.816208,-12.43929,188.2513,-28.45775
110,1.832809,-30.86935,197.8197,-22.11861
111,1.849518,-40.88841,177.725,-40.65834
112,1.866196,-40.88841,177.725,-40.65834
113,1.882935,-15.64098,127.8361,-16.42857
114,1.899506,-3.569266,97.71287,-3.639004
115,1.916122,-0.4824741,81.27887,-5.272204
116,1.932663,6.338,40.99998,-5.187375
117,1.949615,3.802207,5.091857,-4.783997
118,1.966202,3.802207,5.091857,-4.783997
119,1.98291,6.78414,-39.67287,2.35633
120,1.99942,-15.36761,-69.71285,-10.98805
121,2.016083,-11.60632,-96.40359,-20.94673
122,2.032883,-13.01171,-129.9705,-33.61576
123,2.049301,-6.293169,-152.8457,-19.11386
124,2.065994,-6.293169,-152.8457,-19.11386
125,2.082886,7.911341,-193.9556,-20.57456
126,2.099411,15.09781,-199.8645,-22.70137
127,2.116287,24.6111,-179.6914,-23.7798
128,2.132721,34.45337,-162.6119,-11.57079
129,2.149277,33.16696,-127.8134,-25.4211
130,2.166122,33.16696,-127.8134,-25.4211
131,2.182877,11.39888,-131.7909,-46.32703
132,2.199524,14.08986,-132.7191,-41.67463
133,2.216171,33.1543,-146.6693,-14.1465
134,2.232758,52.94312,-128.912,-17.76731
135,2.249374,59.10102,-108.3543,-2.047968
136,2.266159,59.10102,-108.3543,-2.047968
137,2.282898,52.66172,-80.91863,11.58679
138,2.299957,54.71384,-78.78298,14.71562
139,2.316681,49.44688,-69.21702,1.307964
140,2.332916,58.40412,-61.1718,1.827677
141,2.349487,56.92775,-52.27452,4.90256
142,2.36618,56.92775,-52.27452,4.90256
143,2.382797,58.33634,-26.85688,-17.39807
144,2.399216,54.97178,-16.90912,-25.65604
145,2.416214,65.7753,-21.44112,-18.91931
146,2.432526,68.35313,-23.13155,-20.03133
