sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01623535,0.0,-65.51071,-88.1142,False
2,0.03330994,0.0,-65.51071,-88.1142,False
3,0.04975891,0.0,-65.51071,-88.1142,False
4,0.0662384,0.0,-65.51071,-88.1142,False
5,0.0831604,0.0,-65.51071,-88.1142,False
6,0.09954834,0.0,-65.51071,-88.1142,False
7,0.1164703,0.0,-65.51071,-88.1142,False
8,0.1329498,0.0,-65.51071,-88.1142,False
9,0.1496429,0.0,-65.51071,-88.1142,False
10,0.1662903,0.0,-65.51071,-88.1142,False
11,0.1831512,0.0,-65.51071,-88.1142,False
12,0.1998138,0.0,-65.51071,-88.1142,False
13,0.2166138,0.0,-65.51071,-88.1142,False
14,0.233078,0.0,-65.51071,-88.1142,False
15,0.2497253,0.0,-65.51071,-88.1142,False
16,0.2663422,0.0,-65.51071,-88.1142,False
17,0.2828217,0.0,-65.51071,-88.1142,False
18,0.2996521,0.0,-65.51071,-88.1142,False
19,0.3162994,0.0,-65.51071,-88.1142,False
20,0.3331909,0.0,-65.51071,-88.1142,False
21,0.3499451,0.0,-65.51071,-88.1142,False
22,0.3664551,0.0,-65.51071,-88.1142,False
23,0.3834839,0.0,-65.51071,-88.1142,False
24,0.3998871,0.0,-65.51071,-88.1142,False
25,0.4163971,0.0,-65.51071,-88.1142,False
26,0.4329834,0.0,-65.51071,-88.1142,False
27,0.4496918,0.0,-65.51071,-88.1142,False
28,0.4663391,0.0,-65.51071,-88.1142,False
29,0.4830933,0.0,-65.51071,-88.1142,False
30,0.4996338,0.0,-65.51071,-88.1142,False
31,0.5160828,0.0,-65.51071,-88.1142,False
32,0.5330048,0.0,-65.51071,-88.1142,False
33,0.5497894,0.0,-65.51071,-88.1142,False
34,0.5662994,0.0,-65.51071,-88.1142,False
35,0.5827179,0.0,-65.51071,-88.1142,False
36,0.5997314,0.0,-65.51071,-88.1142,False
37,0.6161346,0.0,-65.51071,-88.1142,False
38,0.6331024,0.0,-65.51071,-88.1142,False
39,0.649704,0.0,-65.51071,-88.1142,False
40,0.6661682,0.0,-65.51071,-88.1142,False
41,0.6828308,0.0,-65.51071,-88.1142,False
42,0.6996155,0.0,-65.51071,-88.1142,False
43,0.7162933,0.0,-65.51071,-88.1142,False
44,0.7327728,0.0,-65.51071,-88.1142,False
45,0.7495728,0.0,-65.51071,-88.1142,False
46,0.7661743,0.0,-65.51071,-88.1142,False
47,0.7831573,0.0,-65.51071,-88.1142,False
48,0.7995453,0.0,-65.51071,-88.1142,False
49,0.8161774,0.0,-65.51071,-88.1142,False
50,0.8329773,0.0,-65.51071,-88.1142,False
51,0.8496094,0.0,-65.51071,-88.1142,False
52,0.8661804,0.0,-65.51071,-88.1142,False
53,0.8828278,0.0,-65.51071,-88.1142,False
54,0.8996735,0.0,-65.51071,-88.1142,False
55,0.9162292,0.0,-65.51071,-88.1142,False
56,0.9329071,0.0,-65.51071,-88.1142,False
57,0.949646,0.0,-65.51071,-88.1142,False
58,0.9662018,0.0,-65.51071,-88.1142,False
59,0.9829102,0.0,-65.51071,-88.1142,False
60,0.999588,0.0,-65.51071,-88.1142,False
61,1.016312,0.0,-65.51071,-88.1142,False
62,1.032776,0.0,-65.51071,-88.1142,False
63,1.049606,0.0,-65.51071,-88.1142,False
64,1.066345,0.0,-65.51071,-88.1142,False
65,1.082764,0.0,-65.51071,-88.1142,False
66,1.099518,0.0,-65.51071,-88.1142,False
67,1.116745,0.0,-65.51071,-88.1142,False
68,1.133072,0.0,-65.51071,-88.1142,False
69,1.149872,0.0,-65.51071,-88.1142,False
70,1.166214,0.0,-65.51071,-88.1142,False
71,1.18277,0.0,-65.51071,-88.1142,False
72,1.199661,0.06735964,-63.90244,-86.44362,False
73,1.216278,0.10309,-61.62599,-84.78139,False
74,1.232925,0.0,-59.6603,-82.96905,False
75,1.249664,-0.2497553,-58.13309,-81.58121,False
76,1.266113,-0.2497553,-58.13309,-81.58121,False
77,1.282852,-0.4404537,-55.09134,-79.08862,False
78,1.299713,-0.4449334,-53.66829,-78.18078,False
79,1.316452,-0.4118812,-52.45874,-77.29068,False
80,1.332764,-0.3406749,-51.39939,-76.29577,False
81,1.349304,-0.1147904,-50.46351,-75.29665,False
82,1.366348,-0.1147904,-50.46351,-75.29665,False
83,1.382904,0.5887269,-48.63157,-72.90237,False
84,1.399307,1.193674,-47.75437,-71.59119,False
85,1.416199,2.188444,-46.75138,-69.80869,False
86,1.432663,3.521977,-45.76362,-67.62465,False
87,1.449188,4.966384,-44.83558,-65.20048,False
88,1.466141,4.966384,-44.83558,-65.20048,False
89,1.482849,8.222685,-42.84764,-59.87889,False
90,1.499466,9.502892,-41.79184,-57.51429,False
91,1.51619,10.64808,-40.48302,-55.10748,False
92,1.53273,11.51636,-38.96846,-53.00176,False
93,1.549591,12.38762,-37.09396,-51.56637,False
94,1.56636,12.38762,-37.09396,-51.56637,False
95,1.582703,14.8344,-33.37754,-50.68894,False
96,1.599457,16.69668,-32.10193,-50.75446,False
97,1.616241,18.9349,-31.53302,-50.98591,False
98,1.632843,21.11905,-31.33894,-51.26864,False
99,1.649261,23.49502,-31.32996,-51.61172,False
100,1.666046,23.49502,-31.32996,-51.61172,False
101,1.682556,28.11396,-31.14927,-52.71301,False
102,1.699539,30.4361,-30.8854,-53.50124,False
103,1.716202,32.37713,-30.30618,-54.35592,False
104,1.732788,33.76266,-29.33265,-55.33561,False
105,1.749329,34.68644,-27.83396,-56.45062,False
106,1.766144,34.68644,-27.83396,-56.45062,False
107,1.782837,35.57608,-23.69806,-58.3955,False
108,1.799713,35.59518,-20.932,-59.10386,False
109,1.816208,35.37448,-17.73967,-59.62945,False
110,1.832809,34.90886,-14.57135,-60.00152,False
111,1.849518,34.28523,-11.42789,-60.57225,False
112,1.866196,34.28523,-11.42789,-60.57225,False
113,1.882935,33.32108,-6.590282,-61.32234,False
114,1.899506,33.16528,-4.72799,-61.51331,False
115,1.916122,33.16006,-3.334446,-61.68503,False
116,1.932663,33.21942,-2.447209,-61.80327,False
117,1.949615,33.26851,-2.130164,-61.95384,False
118,1.966202,33.26851,-2.130164,-61.95384,False
119,1.98291,33.45692,-2.811252,-61.96591,False
120,1.99942,33.31419,-3.799892,-62.11455,False
