sample,t,x,y,z, HasCollision
0,0.0,0.0,-65.51071,-88.1142,False
1,0.01655579,0.0,-65.51071,-88.1142,False
2,0.03321075,0.0,-65.51071,-88.1142,False
3,0.04986572,0.0,-65.51071,-88.1142,False
4,0.06633759,0.0,-65.51071,-88.1142,False
5,0.08318329,0.0,-65.51071,-88.1142,False
6,0.09994507,0.0,-65.51071,-88.1142,False
7,0.1165314,0.0,-65.51071,-88.1142,False
8,0.132988,0.0,-65.51071,-88.1142,False
9,0.1499405,0.0,-65.51071,-88.1142,False
10,0.1665878,0.0,-65.51071,-88.1142,False
11,0.183403,0.0,-65.51071,-88.1142,False
12,0.1999283,0.0,-65.51071,-88.1142,False
13,0.2166977,0.0,-65.51071,-88.1142,False
14,0.2334213,0.0,-65.51071,-88.1142,False
15,0.2499466,0.0,-65.51071,-88.1142,False
16,0.266449,0.0,-65.51071,-88.1142,False
17,0.283165,0.0,-65.51071,-88.1142,False
18,0.2998123,0.0,-65.51071,-88.1142,False
19,0.3163605,0.0,-65.51071,-88.1142,False
20,0.3332596,0.0,-65.51071,-88.1142,False
21,0.3498764,0.0,-65.51071,-88.1142,False
22,0.3664169,0.0,-65.51071,-88.1142,False
23,0.38311,0.0,-65.51071,-88.1142,False
24,0.3999329,0.0,-65.51071,-88.1142,False
25,0.4165344,0.0,-65.51071,-88.1142,False
26,0.4333649,0.0,-65.51071,-88.1142,False
27,0.4498901,0.0,-65.51071,-88.1142,False
28,0.4669495,0.0,-65.51071,-88.1142,False
29,0.4830704,0.0,-65.51071,-88.1142,False
30,0.4999084,0.0,-65.51071,-88.1142,False
31,0.516304,0.0,-65.51071,-88.1142,False
32,0.5331345,0.0,-65.51071,-88.1142,False
33,0.5498047,0.0,-65.51071,-88.1142,False
34,0.5665512,0.0,-65.51071,-88.1142,False
35,0.583107,0.0,-65.51071,-88.1142,False
36,0.5999374,0.0,-65.51071,-88.1142,False
37,0.6164398,0.0,-65.51071,-88.1142,False
38,0.6331482,0.0,-65.51071,-88.1142,False
39,0.6497955,0.0,-65.51071,-88.1142,False
40,0.6663284,0.0,-65.51071,-88.1142,False
41,0.6831131,0.0,-65.51071,-88.1142,False
