sample,t,vx,vy,vz
135,2.249527,24.125,-29.33611,-11.56639
136,2.266251,18.5954,-35.8265,-25.72525
137,2.282639,8.600098,-51.33949,-10.20438
138,2.299545,-0.2021277,-47.44744,-4.212751
139,2.315842,-9.47781,-40.12354,-2.780297
140,2.332672,-9.47781,-40.12354,-2.780297
141,2.349487,-24.6585,-35.71819,-17.28131
142,2.365921,-34.44212,-49.70109,-23.92047
143,2.382904,-47.28546,-77.36508,-30.32804
144,2.39946,-42.0817,-75.16267,-16.48442
145,2.416153,-12.56894,-69.0652,-2.805428
146,2.432739,-12.56894,-69.0652,-2.805428
147,2.449509,3.553505,-32.97105,9.499726
148,2.466064,9.538503,-34.48779,1.030087
149,2.482849,17.62381,-43.36891,11.38822
150,2.499741,5.425607,-41.51808,13.0343
151,2.515991,1.59639,-42.84202,5.201371
152,2.532928,1.59639,-42.84202,5.201371
153,2.549347,19.38049,-24.93551,-7.564489
154,2.566177,23.96916,-11.89421,-6.015695
155,2.582672,19.29307,-5.892135,-12.45629
156,2.59964,21.2106,-1.626532,-16.16598
157,2.61647,33.06819,-9.934625,-7.094163
158,2.63269,33.06819,-9.934625,-7.094163
159,2.649124,35.35626,-12.06185,-6.983868
160,2.666046,30.052,-19.72512,-2.201654
161,2.682648,25.41881,-23.14256,-0.324081
162,2.699371,20.41038,-18.19596,-0.5342443
163,2.716141,20.22769,-9.346386,-3.716483
164,2.732727,20.22769,-9.346386,-3.716483
165,2.749207,5.052357,-0.07889854,-1.025862
166,2.766174,1.244007,-6.933125,2.030156
167,2.782715,-0.5710673,-5.504548,-1.629139
168,2.799301,2.319024,-18.94587,5.832681
169,2.816132,2.150505,-15.28676,4.581789
170,2.832809,2.150505,-15.28676,4.581789
171,2.849701,6.93605,-15.1378,-0.9815538
172,2.866058,7.664277,-24.46478,5.582397
173,2.882782,12.78345,-31.14575,3.085068
174,2.899261,13.38142,-35.28928,-3.533828
175,2.916138,6.047101,-50.35984,-11.73342
176,2.932648,6.047101,-50.35984,-11.73342
177,2.949646,3.062768,-50.41719,-22.72198
178,2.966034,-2.085855,-40.78951,-12.11227
179,2.973434,5.398546,-26.16336,-21.14928
180,2.982559,-3.552511,-18.68708,-10.00091
181,2.999207,-3.48629,-16.52445,-9.602758
182,3.016266,-3.48629,-16.52445,-9.602758
183,3.032349,-1.709111,-3.034756,-4.70717
184,3.049301,-0.2450664,0.02932232,-0.6749529
185,3.065933,-2.353257,25.43823,-6.481255
186,3.082352,-4.95646,36.15695,-8.817971
187,3.099304,-17.37899,59.0439,-11.47122
188,3.115997,-17.37899,59.0439,-11.47122
189,3.132767,-20.39844,39.31615,-15.25758
190,3.149246,-14.54376,22.79962,-34.58466
191,3.166092,-11.66742,2.532408,-32.22017
192,3.1828,-3.575996,-9.913844,-28.00885
193,3.199509,-1.50848,-9.952542,-31.74509
194,3.215851,-1.50848,-9.952542,-31.74509
195,3.232498,9.623715,-11.24097,-20.46304
196,3.249268,5.430884,-16.22626,-24.79621
197,3.265747,-0.2414123,-22.76957,-21.65998
198,3.282547,7.136546,-24.6142,-23.68534
199,3.299423,12.33537,-24.5959,-3.184788
200,3.315765,12.33537,-24.5959,-3.184788
201,3.33255,9.873778,-13.85771,0.489322
202,3.349289,-5.62416,-2.728335,3.878482
203,3.365799,1.774558,-1.481056,5.032518
204,3.382599,2.521198,-3.145882,6.867655
205,3.399643,2.257614,-17.11319,6.146849
206,3.415863,2.257614,-17.11319,6.146849
207,3.432541,0.2191015,-2.408971,0.6189228
208,3.449295,-2.037035,-0.05286009,1.182966
209,3.465866,-14.89499,12.32516,2.147999
210,3.482361,-22.37916,13.58837,4.148955
211,3.499329,-29.25838,18.05553,2.508476
212,3.516037,-29.25838,18.05553,2.508476
213,3.532608,-42.28242,51.19414,-0.8053494
214,3.549057,-50.63071,70.93454,-4.879615
215,3.565948,-67.45336,96.58998,-0.7718386
216,3.582794,-73.71909,100.1596,7.525364
217,3.599091,-79.34119,107.4145,6.200043
218,3.616028,-79.34119,107.4145,6.200043
219,3.632446,-110.2269,128.7207,16.96077
220,3.649536,-122.3849,131.6736,22.70427
221,3.665955,-125.3012,124.0313,10.68986
222,3.682922,-126.8185,107.3856,15.41636
223,3.699066,-153.8531,89.01534,15.45424
224,3.715683,-153.8531,89.01534,15.45424
225,3.732574,-155.0104,34.93536,13.32967
226,3.749374,-136.5204,10.99228,11.50822
227,3.765961,-137.8586,0.08744957,13.72272
228,3.782608,-137.976,-9.282863,15.47306
229,3.799301,-114.2707,-13.36525,13.37167
230,3.81575,-114.2707,-13.36525,13.37167
231,3.832336,-76.45799,-16.87872,10.42986
232,3.848969,-47.87116,-18.37872,24.72338
233,3.865997,-24.51568,-28.03303,16.04078
234,3.882385,-2.545659,-37.4631,17.13468
235,3.8992,6.689121,-40.7394,18.14021
236,3.916061,6.689121,-40.7394,18.14021
237,3.932495,31.84951,-48.27473,20.12284
238,3.949188,27.41373,-47.01498,19.23662
239,3.965744,30.8904,-46.77651,18.54887
240,3.982483,23.64623,-31.25723,12.03875
241,3.99913,21.77592,-27.0156,10.17852
242,4.015793,21.77592,-27.0156,10.17852
243,4.032486,24.5422,-19.49316,-2.410801
244,4.049072,24.60654,-22.63534,-3.988528
245,4.06575,39.08275,-27.49475,-6.713522
246,4.082458,50.8751,-26.65917,-4.479693
247,4.099136,47.6868,-23.68687,-1.993681
248,4.115662,47.6868,-23.68687,-1.993681
249,4.132523,34.36,-12.62256,0.8956314
250,4.149033,33.6269,-11.54416,-2.147999
251,4.165634,24.84067,-10.25276,1.608722
252,4.182449,13.86555,-9.808304,-4.200612
253,4.199158,13.79062,-12.26881,-0.1881363
254,4.215729,13.79062,-12.26881,-0.1881363
255,4.232483,-1.008421,-25.41211,-10.70168
256,4.248917,0.02484493,-28.58127,0.2576091
257,4.266022,-0.2397957,-26.63308,-2.495183
258,4.282547,0.3911912,-30.20668,4.070517
259,4.298996,-0.2011168,-30.73173,-2.092709
260,4.315765,-0.2011168,-30.73173,-2.092709
261,4.332596,0.495692,-43.59906,-3.912334
262,4.349197,-0.8691831,-43.82405,-11.59357
263,4.365875,-0.7554986,-41.91656,-7.805463
264,4.382309,-1.515289,-33.25415,-15.6323
265,4.399185,-0.5327656,-27.12919,-5.49619
266,4.41571,-0.5327656,-27.12919,-5.49619
267,4.432297,-1.41482,-16.60396,-14.59576
268,4.448914,-1.100993,-16.99634,-11.35822
269,4.465927,-0.4806089,-24.72122,-4.958123
270,4.482361,-0.2990301,-24.63224,-4.851718
271,4.499207,10.56476,-22.89474,-7.443523
272,4.515961,10.56476,-22.89474,-7.443523
273,4.532532,2.986616,-20.38718,-11.63541
274,4.533432,9.912421,-19.26173,-2.014783
275,4.549713,1.888682,-12.86452,-8.225712
276,4.565857,13.32553,-10.72274,-14.13877
277,4.582321,7.470534,-17.55125,-14.5208
