Collision k, Collision time, Ball Position, Ball Color
1,1136.22,(6-6),Green
2,1149.94,(6-5),Green
3,1150.88,(6-4),Green
4,1153.9,(5-4),Red
5,1154.72,(4-4),Green
6,1155.64,(3-4),Green
7,1156.68,(4-3),Green
8,1157.46,(3-3),Green
9,1158.56,(4-2),Green
10,1160.76,(3-2),Red
11,1162.2,(2-2),Green
12,1164.6,(2-3),Red
13,1165.54,(1-3),Green
14,1167.06,(0-3),Green
15,1169.4,(1-4),Green
16,1170.46,(0-4),Green
17,1172,(0-6),Green
18,1180.22,(5-6),Green
19,1183.4,(4-5),Red
20,1183.7,(3-5),Green
21,1184.6,(2-5),Green
22,1189.88,(1-1),Red
23,1190.38,(0-1),Green
24,1190.96,(0-0),Red
25,1191.98,(2-0),Green
26,1192.64,(1-0),Green
27,1193.68,(3-0),Green
