Collision k, Collision time, Ball Position, Ball Color
1,659.5,(1-2),Green
2,662.4,(0-2),Green
3,667.34,(1-3),Green
4,669.22,(2-4),Green
5,671.48,(3-4),Green
6,675.76,(4-3),Green
7,677.18,(3-2),Green
8,678.42,(4-1),Green
9,679.64,(3-0),Red
10,680.16,(2-1),Red
11,680.6,(2-0),Red
12,682.18,(1-0),Green
