Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),10.032,Green, (0-4),5.509586,4.042902,52.52947,62.13726,2318.986,4058.879
1,Green,(0-4),0.960,Green, (0-3),3.072764,1.410219,31.1773,29.51988,1587.656,2151.693
2,Green,(0-3),1.080,Green, (0-2),2.833171,1.089499,20.05166,15.65758,1162.265,1719.313
3,Green,(0-2),1.240,Green, (0-1),3.168689,1.401495,26.59,16.29022,1253.175,1303.825
4,Green,(0-1),0.880,Green, (0-0),2.846545,1.109975,20.67178,14.15428,1152.137,1216.88
5,Green,(0-0),15.280,Green, (1-0),5.768363,35.10255,38.54972,28.45594,1820.811,2212.059
6,Green,(1-0),4.700,Green, (2-0),4.766694,4.76695,28.83383,22.05599,1429.82,1752.06
7,Green,(2-0),2.560,Green, (3-0),4.248839,4.465022,24.32587,16.36331,1225.779,1303.884
8,Green,(3-0),4.300,Green, (4-0),4.642266,8.320917,36.30235,32.70649,1900.824,3830.323
9,Green,(4-0),4.820,Green, (4-1),4.575571,6.207638,23.31986,18.98364,1196.497,1725.658
10,Green,(4-1),0.680,Green, (4-2),2.739297,1.358613,34.35946,26.34142,3857.065,15135.28
11,Green,(4-2),0.780,Green, (4-3),2.308602,1.170417,25.3611,23.49536,1119.791,1592.096
12,Green,(4-3),0.760,Green, (4-4),2.159171,1.065832,27.16601,28.92788,1309.599,2048.261
13,Green,(4-4),0.720,Green, (3-4),2.80188,1.239805,23.97992,27.68093,1209.916,1831.654
14,Green,(3-4),0.880,Green, (2-4),3.090261,1.146222,29.24751,23.85249,1543.702,1834.267
15,Green,(2-4),1.860,Green, (1-4),3.909822,3.099584,31.29542,25.1495,2041.296,5124.016
