Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),22.271,Green, (2-2),6.172134,16.56802,46.87105,53.4016,2156.673,3731.5
1,Green,(2-2),2.320,Green, (1-2),4.115225,4.719521,38.57135,26.93483,1873.77,2222.371
2,Green,(1-2),1.040,Green, (0-2),3.171887,1.151551,39.81604,26.14763,1783.559,2092.24
3,Green,(0-2),2.120,Green, (0-1),3.847906,1.520276,37.02752,34.61071,3338.761,18996.74
4,Green,(0-1),0.860,Green, (0-0),2.959927,2.064459,64.54125,42.89597,2807.788,3399.759
5,Green,(0-0),8.400,Green, (2-0),5.243934,6.024619,46.87811,44.65224,2204.714,3171.178
6,Green,(2-0),2.500,Green, (2-1),3.9411,2.193986,23.72579,15.62016,1167.922,1232.716
7,Green,(2-1),1.420,Green, (1-0),3.555001,2.040799,47.82828,25.1952,2109.022,2258.405
