Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),20.037,Green, (2-6),6.143516,9.132932,42.16648,57.33527,1934.914,3793.384
1,Green,(2-6),6.220,Green, (4-6),5.002912,7.431261,30.67989,23.58166,1461.494,1767.208
2,Green,(4-6),2.360,Green, (3-6),4.245851,3.593689,20.03751,20.25532,3175.201,26503.24
3,Green,(3-6),5.380,Green, (5-6),4.840353,5.1885,25.20761,20.40843,1213.297,1475.515
4,Green,(5-6),4.820,Green, (6-6),4.886342,8.753145,18.73412,18.29426,1090.312,3238.33
5,Green,(6-6),0.700,Green, (6-5),2.613098,1.411113,22.72775,18.36369,2340.163,8331.533
6,Green,(6-5),1.380,Green, (6-4),3.298885,2.385863,26.64938,17.61348,1220.843,1429.059
7,Green,(6-4),2.220,Green, (6-3),4.036666,3.609514,24.8432,18.22506,1231.043,1534.809
8,Green,(6-3),0.840,Green, (6-2),2.355927,2.550331,36.27985,34.43335,1773.323,2484.436
9,Green,(6-2),0.960,Green, (6-1),2.626679,1.696054,20.63428,13.41094,1333.803,2284.288
10,Green,(6-1),1.060,Green, (6-0),2.909908,1.167753,12.74185,12.28284,600.4142,833.8138
11,Green,(6-0),7.720,Green, (5-0),5.305129,18.85151,20.64427,23.9143,1188.292,4174.467
12,Green,(5-0),0.560,Green, (4-0),2.595925,1.01802,26.11779,13.79572,1128.35,1157.323
13,Green,(4-0),2.300,Green, (3-0),4.026764,2.300623,22.58886,17.02808,1067.612,1356.612
14,Green,(3-0),0.660,Green, (2-0),3.054574,8.940273,37.38715,23.53083,2116.457,2603.924
15,Green,(2-0),1.380,Green, (1-0),3.522971,1.29451,12.32602,7.245957,1058.82,4084.815
16,Green,(1-0),1.460,Green, (0-0),3.638082,1.548855,14.51584,10.97533,758.3293,821.0926
17,Green,(0-0),1.120,Green, (0-1),3.449807,2.230248,18.0519,17.41387,886.473,1192.459
18,Green,(0-1),0.940,Green, (0-2),2.753599,1.076756,15.93447,15.88306,812.5586,1165.287
19,Green,(0-2),1.860,Green, (0-3),3.357746,2.315146,17.05421,15.80195,894.1819,1122.186
20,Green,(0-3),0.720,Green, (0-4),2.661689,1.493951,22.1355,21.48779,2831.893,12143.91
21,Green,(0-4),0.880,Green, (0-5),2.645942,1.131149,22.12049,23.60873,902.3491,1459.208
22,Green,(0-5),1.600,Green, (0-6),3.051796,2.384531,22.85497,23.77497,1117.255,1648.097
23,Green,(0-6),2.140,Green, (1-6),4.011297,6.097836,28.48627,20.78058,1391.489,1602.986
