Collision k, Collision time, Ball Position, Ball Color
1,357.64,(2-6),Green
2,363.86,(4-6),Green
3,366.22,(3-6),Green
4,371.6,(5-6),Green
5,376.42,(6-6),Green
6,377.12,(6-5),Green
7,378.5,(6-4),Green
8,380.72,(6-3),Green
9,381.56,(6-2),Green
10,382.52,(6-1),Green
11,383.58,(6-0),Green
12,391.3,(5-0),Green
13,391.86,(4-0),Green
14,394.16,(3-0),Green
15,394.82,(2-0),Green
16,396.2,(1-0),Green
17,397.66,(0-0),Green
18,398.78,(0-1),Green
19,399.72,(0-2),Green
20,401.58,(0-3),Green
21,402.3,(0-4),Green
22,403.18,(0-5),Green
23,404.78,(0-6),Green
24,406.92,(1-6),Green
