Collision k, Collision time, Ball Position, Ball Color
1,779.7,(6-6),Green
2,780.48,(6-5),Green
3,782.78,(6-4),Green
4,783.92,(6-3),Green
5,787.34,(6-2),Green
6,788.6,(6-1),Green
7,789.28,(6-0),Green
8,791.32,(5-1),Green
9,792.8,(5-2),Red
10,793.9,(4-2),Green
11,798.12,(4-3),Red
12,801.58,(3-3),Green
13,802.3,(3-4),Red
14,804.94,(2-4),Green
15,807.18,(1-5),Green
16,808.28,(1-6),Red
17,809.1,(0-6),Green
18,809.72,(0-5),Green
19,810.38,(0-4),Green
20,811.18,(0-3),Green
21,814.76,(0-2),Green
22,816.76,(0-1),Green
23,818.18,(0-0),Green
