Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),30.433,Green, (2-2),6.405092,17.95538,38.45078,38.33684,1790.524,2788.392
1,Green,(2-2),12.700,Green, (2-1),5.64923,10.98994,33.19381,29.68688,1581.442,2444.272
2,Green,(2-1),4.980,Green, (1-1),4.704591,2.180888,19.8938,17.02424,938.631,1202.417
3,Green,(1-1),2.860,Green, (0-1),4.12735,4.27064,45.67209,36.93565,2060.032,2704.277
4,Green,(0-1),1.980,Green, (0-0),3.813584,2.099421,28.13041,22.0209,1363.683,1653.533
5,Green,(0-0),2.440,Green, (0-2),3.693063,1.278967,28.52702,28.48938,1391.071,1956.784
6,Green,(0-2),3.300,Green, (2-0),4.198737,1.419152,38.61366,28.19306,1742.056,2154.134
