Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),26.467,Green, (6-6),6.311167,23.8961,49.48438,49.50328,2228.073,3404.196
1,Green,(6-6),13.720,Green, (6-5),5.651989,29.49776,24.53111,25.33057,1205.962,1736.077
2,Green,(6-5),0.940,Green, (6-4),2.961415,1.23191,16.96273,12.57714,819.1326,896.3861
3,Green,(6-4),3.020,Red, (5-4),4.131429,2.249584,11.46662,8.740111,605.0821,610.9713
4,Red,(5-4),0.820,Green, (4-4),3.211008,1.115558,9.607437,10.97288,629.5287,1176.51
5,Green,(4-4),0.920,Green, (3-4),3.151275,1.025443,14.50206,9.035418,824.0069,904.0032
6,Green,(3-4),1.040,Green, (4-3),3.099768,1.767764,17.68818,10.70072,837.4282,870.9579
7,Green,(4-3),0.780,Green, (3-3),2.9006,1.695909,15.0734,13.09518,793.3575,901.9154
8,Green,(3-3),1.100,Green, (4-2),3.147161,1.439638,13.0918,9.48853,720.6318,725.9478
9,Green,(4-2),2.200,Red, (3-2),3.994327,3.495619,18.45182,15.51217,914.9458,1101.341
10,Red,(3-2),1.440,Green, (2-2),3.650181,1.657747,12.9879,8.38806,987.1693,2749.668
11,Green,(2-2),2.400,Red, (2-3),3.862398,3.483953,20.87182,14.78762,1211.292,2779.633
12,Red,(2-3),0.940,Green, (1-3),3.101915,1.274678,11.01162,6.848092,594.575,530.818
13,Green,(1-3),1.520,Green, (0-3),3.470317,1.659159,14.22401,9.646964,692.1249,731.4286
14,Green,(0-3),2.340,Green, (1-4),3.951017,3.893525,27.35348,18.73449,1599.776,4198.004
15,Green,(1-4),1.060,Green, (0-4),3.195067,1.978855,18.97198,9.919469,907.3378,918.3014
16,Green,(0-4),1.540,Green, (0-6),3.448778,1.874422,33.71941,30.19081,2163.493,5603.343
17,Green,(0-6),8.220,Green, (5-6),5.1985,4.935939,40.4247,39.63259,1862.294,2717.976
18,Green,(5-6),3.180,Red, (4-5),4.172342,2.006297,14.03847,11.0296,821.9057,2068.872
19,Red,(4-5),0.300,Green, (3-5),2.10702,0.995506,25.35157,12.61827,1859.635,3830.115
20,Green,(3-5),0.900,Green, (2-5),3.078552,1.048785,15.66525,12.39253,1106.824,3005.529
21,Green,(2-5),5.280,Red, (1-1),4.596471,1.976378,21.61131,15.77688,1225.789,3359.787
22,Red,(1-1),0.500,Green, (0-1),2.575779,1.077978,16.05953,12.38586,1598.973,5082.928
23,Green,(0-1),0.580,Red, (0-0),2.589457,1.921504,23.1875,14.50219,1049.857,1214.965
24,Red,(0-0),1.020,Green, (2-0),3.08502,1.390982,27.94822,14.42204,2201.249,7129.999
25,Green,(2-0),0.660,Green, (1-0),2.826564,1.943777,15.30322,10.1834,854.0528,756.4392
26,Green,(1-0),1.040,Green, (3-0),3.199312,2.297032,40.01408,20.33617,2769.789,7758.475
