Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.075,Green, (4-4),4.426615,3.195607,49.86477,62.33544,2334.584,4039.936
1,Green,(4-4),0.500,Green, (4-3),2.44231,1.330022,30.49607,19.73012,1768.141,2212.386
2,Green,(4-3),0.420,Green, (4-2),1.824836,0.9735019,47.18993,22.42791,2190.756,2383.512
3,Green,(4-2),0.400,Green, (4-1),1.387799,0.9576382,48.32835,22.12302,2187.28,2285.638
4,Green,(4-1),1.960,Green, (4-0),3.564842,1.792457,24.53711,16.31267,1459.795,2517.38
5,Green,(4-0),0.780,Green, (3-1),2.838917,1.218787,37.26457,37.46384,1715.474,2582.28
6,Green,(3-1),0.760,Green, (2-2),2.899635,1.042974,36.42659,28.55427,1795.599,2414.681
7,Green,(2-2),1.140,Green, (1-3),3.019107,1.07583,27.27023,12.48684,1276.574,1274.742
8,Green,(1-3),0.720,Green, (0-4),2.76231,1.015087,38.67507,19.92161,2584.111,5896.406
9,Green,(0-4),0.500,Green, (0-3),2.198943,2.222713,25.21558,23.85233,2142.21,5312.048
10,Green,(0-3),0.500,Green, (0-2),2.014119,1.005706,40.87917,18.09208,2737.104,5967.39
11,Green,(0-2),0.440,Green, (0-1),1.598842,0.9745223,40.35852,17.13794,1784.954,1851.788
12,Green,(0-1),0.380,Green, (0-0),1.542244,0.9679777,49.18257,22.57648,2491.903,2442.196
