Collision k, Collision time, Ball Position, Ball Color
1,162.46,(2-2),Green
2,163.22,(2-1),Green
3,163.76,(2-0),Green
4,164.32,(1-0),Green
5,164.94,(0-0),Green
6,165.44,(0-1),Green
7,165.92,(0-2),Green
8,166.36,(1-2),Green
