Collision k, Collision time, Ball Position, Ball Color
1,221.92,(6-6),Green
2,223.48,(6-4),Green
3,224.56,(6-2),Green
4,225.62,(6-0),Green
5,226.34,(5-1),Green
6,227.24,(4-0),Green
7,228.22,(3-1),Green
8,229.32,(2-0),Green
9,230.2,(1-1),Green
10,231.4,(0-0),Green
11,232.36,(0-2),Green
12,233.54,(0-4),Green
13,234.6,(0-6),Green
14,235.68,(1-5),Green
15,237,(1-3),Green
16,237.86,(2-4),Green
17,239.02,(3-3),Green
18,240.1,(2-2),Green
19,241.32,(4-2),Green
20,242.84,(5-3),Green
21,243.98,(4-4),Green
22,245.24,(3-5),Green
23,246.4,(2-6),Green
24,247.88,(4-6),Green
25,249.62,(5-5),Green
