Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.793,Green, (2-2),4.495688,1.668553,35.08077,57.41947,1812.355,3752.445
1,Green,(2-2),0.580,Green, (2-1),2.053016,1.171928,51.3443,58.66652,4945.608,17142.5
2,Green,(2-1),0.360,Green, (2-0),1.455512,0.9565263,89.13148,45.4841,3553.332,4207.056
3,Green,(2-0),0.600,Green, (1-1),2.58626,1.454707,71.09688,57.57651,3344.974,4299.933
4,Green,(1-1),0.660,Green, (0-2),2.683543,1.007714,76.87924,41.30315,3852.755,4317.984
5,Green,(0-2),0.320,Green, (0-1),1.941108,2.465871,86.01339,53.56815,4557.807,4787.967
6,Green,(0-1),0.340,Green, (0-0),1.539585,0.9721048,106.8644,53.5663,16777.37,56299.09
