Collision k, Collision time, Ball Position, Ball Color
1,142.66,(4-1),Green
2,143.22,(4-0),Green
3,143.82,(3-1),Green
4,144.38,(3-2),Green
5,144.96,(2-2),Green
6,146.48,(2-4),Green
7,146.98,(1-4),Green
8,147.48,(0-4),Green
9,147.96,(0-3),Green
10,149.46,(0-0),Green
11,149.86,(1-0),Green
