Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.637,Green, (4-1),4.35193,3.010477,43.6913,52.56575,2519.832,6249.323
1,Green,(4-1),0.560,Green, (4-0),2.579692,1.323067,40.19378,38.95745,1855.827,2731.457
2,Green,(4-0),0.600,Green, (3-1),2.367444,1.549094,51.10839,38.55298,2434.553,2876.442
3,Green,(3-1),0.560,Green, (3-2),2.374239,1.391811,41.52051,34.72153,2622.05,4025.183
4,Green,(3-2),0.580,Green, (2-2),2.756227,1.257773,25.62569,36.5769,7431.63,37622.88
5,Green,(2-2),1.520,Green, (2-4),3.777303,2.735367,75.22768,69.77957,3676.115,5580.635
6,Green,(2-4),0.500,Green, (1-4),2.678939,1.60863,19.09593,23.46513,1440.358,2770.479
7,Green,(1-4),0.500,Green, (0-4),2.5993,0.9951453,38.98257,28.17508,2394.771,3625.041
8,Green,(0-4),0.480,Green, (0-3),2.318612,1.472699,47.17654,23.66634,5346.442,18158.27
9,Green,(0-3),1.500,Green, (0-0),3.628258,1.802661,77.18894,85.37402,4305.201,8419.51
10,Green,(0-0),0.400,Green, (1-0),2.601131,1.479057,60.79144,47.98957,7954.543,24584.02
