Collision k, Collision time, Ball Position, Ball Color
1,262.5,(2-2),Green
2,263.08,(2-1),Green
3,263.44,(2-0),Green
4,264.04,(1-1),Green
5,264.7,(0-2),Green
6,265.02,(0-1),Green
7,265.36,(0-0),Green
