Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),3.508,Green, (6-6),4.539402,4.054436,61.11778,66.15411,2799.495,4376.435
1,Green,(6-6),0.540,Green, (6-5),2.537866,1.235394,30.52387,25.44095,1449.982,1844.462
2,Green,(6-5),0.200,Green, (6-4),0.7906488,0.9131677,53.92869,30.93501,2820.215,3132.833
3,Green,(6-4),0.520,Green, (6-3),1.674464,0.9428102,24.69668,17.87556,1121.696,1397.869
4,Green,(6-3),0.220,Green, (6-2),0.6978975,0.958072,53.05043,28.34993,5897.829,15405.93
5,Green,(6-2),0.200,Green, (6-1),0.2764915,0.9883792,55.9982,30.36647,6979.012,17920.09
6,Green,(6-1),0.300,Green, (6-0),1.255047,0.9744722,39.38177,18.49404,3306.471,7883.771
7,Green,(6-0),1.060,Green, (5-1),2.828238,1.902405,22.04191,18.62392,1036.346,1376.109
8,Green,(5-1),1.320,Green, (4-2),3.233121,1.17981,15.41237,9.681001,769.0787,823.4002
9,Green,(4-2),1.100,Green, (3-3),3.227999,1.293979,21.6835,16.46056,1044.452,1241.662
10,Green,(3-3),1.120,Green, (2-4),3.069277,1.049177,17.48241,9.575087,1028.798,1651.619
11,Green,(2-4),1.100,Green, (1-5),3.137427,1.058151,17.4439,8.51104,979.6592,1460.238
12,Green,(1-5),0.720,Green, (0-6),2.741613,1.031805,25.68676,14.05034,1263.279,1282.995
13,Green,(0-6),0.380,Green, (0-5),1.872763,2.603577,33.69183,20.07784,3108.794,7419.531
14,Green,(0-5),0.340,Green, (0-4),1.533886,0.972249,35.53894,17.69859,1674.091,1814.151
15,Green,(0-4),0.280,Green, (0-3),1.3719,0.9646688,42.95337,20.67232,2455.391,2737.965
16,Green,(0-3),0.280,Green, (0-2),1.282884,0.9451058,43.30439,26.09542,3384.936,6803.758
17,Green,(0-2),0.360,Green, (0-1),1.267193,0.9624404,33.54309,16.90104,1378.546,1629.469
18,Green,(0-1),0.280,Green, (0-0),1.363682,0.9498225,41.42081,20.46031,1727.848,1815.63
