Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.094,Green, (4-2),4.13744,2.901763,51.76005,83.51416,2506.487,5192.609
1,Green,(4-2),2.260,Green, (4-0),4.054722,3.31721,58.42155,54.52885,3529.259,9851.084
2,Green,(4-0),1.080,Green, (3-1),3.248882,2.041267,46.87067,35.11142,2096.679,2616.597
3,Green,(3-1),1.140,Green, (2-0),3.452993,2.797333,62.42661,42.33315,2877.072,3455.84
4,Green,(2-0),0.880,Green, (1-1),3.216402,2.487399,60.8471,42.15576,4874.351,14627.37
5,Green,(1-1),1.080,Green, (0-0),3.505239,2.000199,46.63006,48.43651,2202.677,3319.438
6,Green,(0-0),1.320,Green, (0-2),3.6932,2.49763,68.29251,51.07912,4919.926,11566.05
7,Green,(0-2),1.180,Green, (0-4),3.522635,1.865499,64.42348,41.0915,3296.855,3579.32
8,Green,(0-4),0.860,Green, (1-3),2.97641,1.144183,39.48112,17.51953,1779.768,1581.375
9,Green,(1-3),0.880,Green, (2-2),2.845918,1.028958,30.10099,16.75607,1547.126,1615.522
10,Green,(2-2),1.480,Green, (2-4),3.754385,3.159383,69.31235,72.11312,3493.004,5771.157
11,Green,(2-4),1.400,Green, (3-3),3.717797,2.753827,56.72441,47.60135,3263.156,6612.485
12,Green,(3-3),1.400,Green, (4-4),3.667201,3.752056,65.90195,52.42373,3301.704,4574.063
