Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.655,Green, (4-0),4.287317,2.11416,39.96135,56.68389,2011.636,3953.196
1,Green,(4-0),0.760,Green, (3-0),2.969285,1.193595,26.76842,23.86391,1284.131,1799.847
2,Green,(3-0),0.340,Green, (2-0),2.13246,1.050038,64.48255,29.34357,6346.366,15636.84
3,Green,(2-0),0.360,Green, (1-0),2.215586,0.9858339,48.35395,28.58003,2065.037,2525.5
4,Green,(1-0),0.280,Green, (0-0),1.979218,0.9696193,59.21041,30.74778,3089.39,3110.465
5,Green,(0-0),0.580,Green, (0-1),2.415541,1.179481,38.51537,29.0416,2526.213,4396.943
6,Green,(0-1),0.180,Green, (0-2),0.6453731,0.9771369,107.7401,61.03833,13879.49,33606.34
7,Green,(0-2),0.420,Green, (0-3),1.983614,1.025098,38.07214,37.42081,2543.554,4486.304
8,Green,(0-3),0.280,Green, (0-4),1.159902,0.9485671,67.01309,37.92583,6273.949,15308.68
9,Green,(0-4),0.500,Green, (1-4),2.424832,1.572284,40.24485,35.87072,4833.879,17915.29
10,Green,(1-4),0.240,Green, (2-4),1.82688,0.9822246,80.19083,41.00574,3950.506,4309.902
11,Green,(2-4),0.540,Green, (3-4),2.60486,0.9652208,39.34552,38.59206,1835.505,2670.121
12,Green,(3-4),0.420,Green, (4-4),2.325452,1.020687,41.84159,22.84758,3851.103,10911.08
13,Green,(4-4),0.320,Green, (4-3),1.517031,1.08265,51.30544,42.09023,3122.964,5022.159
14,Green,(4-3),0.280,Green, (4-2),0.82403,0.973573,64.32782,33.55983,6869.423,18469.3
15,Green,(4-2),0.340,Green, (4-1),1.09012,0.9482943,45.55777,25.41461,1987.612,2252.921
