t,vx,vy,vz
4.736244,0,0,0
4.753395,0,0,0
4.769371,0,0,0
4.786522,0,0,0
4.803391,0,0,0
4.819626,0,0,0
4.836136,0,0,0
4.852699,0,0,0
4.870033,0,0,0
4.886467,0,0,0
4.903366,0,0,0
4.919922,0,0,0
4.936363,0,0,0
4.954254,0,0,0
4.969917,0,0,0
4.986633,0,0,0
5.00322,0,0,0
5.020241,0,0,0
5.036461,0,0,0
5.053329,0,0,0
5.069641,0,0,0
5.086411,0,0,0
5.103302,0,0,0
5.11982,0,0,0
5.136856,0,0,0
5.153198,0,0,0
5.169838,0,0,0
5.1866,0,0,0
5.203163,0,0,0
5.219948,0,0,0
5.236343,0,0,0
5.253242,0,0,0
5.269821,0,0,0
5.286156,0,0,0
5.303123,0,0,0
5.319489,0,0,0
5.336082,0,0,0
5.352852,0,0,0
5.370117,0,0,0
5.386826,0,0,0
5.403526,0,0,0
5.420128,0,0,0
5.436768,0,0,0
5.45385,0,0,0
5.470329,0,0,0
5.486649,0,0,0
5.504234,0,0,0
5.520416,0,0,0
5.537254,0,0,0
5.55368,0,0,0
5.570755,0,0,0
5.58683,0,0,0
5.604088,0,0,0
5.620445,0,0,0
5.636749,0,0,0
5.654053,0,0,0
5.670197,0,0,0
5.687309,0,0,0
5.703476,0,0,0
5.721291,0,0,0
5.736954,0,0,0
5.754189,0,0,0
5.770164,0,0,0
5.786758,0,0,0
5.803696,0,0,0
5.81958,0,0,0
5.836334,0,0,0
5.852783,0,0,0
5.870697,0,0,0
5.887627,0,0,0
5.903557,0,0,0
5.919479,0,0,0
5.935898,0,0,0
5.952766,0,0,0
5.969322,0,0,0
5.986176,0,0,0
6.002762,0,0,0
6.019814,0,0,0
6.036797,0,0,0
6.054054,0,0,0
6.07061,0,0,0
6.086975,0,0,0
6.103592,0,0,0
6.120384,0,0,0
6.137329,0,0,0
6.15432,0,0,0
6.169998,0,0,0
6.187164,0,0,0
6.203812,0,0,0
6.220848,0,0,0
6.236794,0,0,0
6.254181,0,0,0
6.270264,0,0,0
6.287338,0,0,0
6.303787,0,0,0
6.321068,0,0,0
6.337578,0,0,0
6.35498,0,0,0
6.369408,0,0,0
6.387756,0,0,0
6.403572,0,0,0
6.419128,0,0,0
6.436165,0,0,0
6.453056,0,0,0
6.469437,0,0,0
6.485825,0,0,0
6.502922,0,0,0
6.519615,0,0,0
6.53643,0,0,0
6.552673,0,0,0
6.569847,0,0,0
6.585938,0,0,0
6.603088,0,0,0
6.61985,0,0,0
6.636284,0,0,0
6.652786,0,0,0
6.669212,0,0,0
6.686157,0,0,0
6.703308,0,0,0
6.719582,0,0,0
6.735825,0,0,0
6.752693,0,0,0
6.769592,0,0,0
6.786995,0,0,0
6.803825,0,0,0
6.820526,0,0,0
6.838554,0,0,0
6.853897,0,0,0
6.870377,0,0,0
6.887085,0,0,0
6.903633,0,0,0
6.920586,0,0,0
6.937363,0,0,0
6.954338,0,0,0
6.969894,0,0,0
6.986153,0,0,0
7.002449,0,0,0
7.01902,0,0,0
7.036232,0,0,0
7.052711,0,0,0
7.06974,0,0,0
7.086174,0,0,0
7.102989,0,0,0
7.119865,0,0,0
7.136063,0,0,0
7.153625,0,0,0
7.170753,0,0,0
7.186829,0,0,0
