t,x,y,z, HasCollision
0,0,50,0,False
0.003852844,0,50,0,False
0.01998901,0,50,0,False
0.03683472,0,50,0,False
0.05342865,0,50,0,False
0.07008362,0,50,0,False
0.08679962,0,50,0,False
0.1030502,0,50,0,False
0.1199722,0,50,0,False
0.1369171,0,50,0,False
0.1539536,0,50,0,False
0.1699982,0,50,0,False
0.1868744,0,50,0,False
0.2037582,0,50,0,False
0.2201309,0,50,0,False
0.2369614,0,50,0,False
0.2530441,0,50,0,False
0.2697754,0,50,0,False
0.2867508,0,50,0,False
0.3037643,0,50,0,False
0.3203812,0,50,0,False
0.3368225,0,50,0,False
0.3534012,0,50,0,False
0.3706207,0,50,0,False
0.386879,0,50,0,False
0.403244,0,50,0,False
0.4203186,0,50,0,False
0.4371033,0,50,0,False
0.4534378,0,50,0,False
0.4705276,0,50,0,False
0.4867096,0,50,0,False
0.5034637,0,50,0,False
0.5201874,0,50,0,False
0.5366287,0,50,0,False
0.5536346,0,50,0,False
0.570549,0,50,0,False
0.5872421,0,50,0,False
0.6033783,0,50,0,False
0.620224,0,50,0,False
0.6368179,0,50,0,False
0.6539383,0,50,0,False
0.6699982,0,50,0,False
0.6864777,0,50,0,False
0.7035217,0,50,0,False
0.7201767,0,50,0,False
0.7367249,0,50,0,False
0.75354,0,50,0,False
0.7696762,0,50,0,False
0.7864838,0,50,0,False
0.8037262,0,50,0,False
0.8203278,0,50,0,False
0.8367538,0,50,0,False
0.853447,0,50,0,False
0.8699875,0,50,0,False
0.8867188,0,50,0,False
0.9033661,0,50,0,False
0.9198456,0,50,0,False
0.9366226,0,50,0,False
0.9535217,0,50,0,False
0.9700546,0,50,0,False
0.9868317,0,50,0,False
1.003685,0,50,0,False
1.020416,0,50,0,False
1.036606,0,50,0,False
1.053596,0,50,0,False
1.070198,0,50,0,False
1.086746,0,50,0,False
1.103607,0,50,0,False
1.120491,0,50,0,False
1.136353,0,50,0,False
1.153557,0,50,0,False
1.170151,0,50,0,False
1.186615,0,50,0,False
1.203499,0,50,0,False
1.220467,0,50,0,False
1.236534,0,50,0,False
1.253334,0,50,0,False
1.269516,0,50,0,False
1.286209,0,50,0,False
1.302971,0,50,0,False
1.320389,0,50,0,False
1.336739,0,50,0,False
1.352951,0,50,0,False
1.369781,0,50,0,False
1.386696,0,50,0,False
1.403191,0,50,0,False
1.42012,0,50,0,False
1.436752,0,50,0,False
1.453575,0,50,0,False
1.470078,0,50,0,False
1.486679,0,50,0,False
1.503273,0,50,0,False
1.519791,0,50,0,False
1.536705,0,50,0,False
1.553474,0,50,0,False
1.569931,0,50,0,False
1.58683,0,50,0,False
1.603455,0,50,0,False
1.619865,0,50,0,False
1.636749,0,50,0,False
1.653076,0,50,0,False
1.670433,0,50,0,False
1.68634,0,50,0,False
1.703171,0,50,0,False
1.720169,0,50,0,False
1.736725,0,50,0,False
1.753433,0,50,0,False
1.769936,0,50,0,False
1.786858,0,50,0,False
1.803482,0,50,0,False
1.819916,0,50,0,False
1.837059,0.1035988,50.19701,0.1431538,False
1.853218,0.3035342,50.52474,0.4381668,False
1.869934,0.6297637,50.9781,0.9425606,False
1.886589,1.082505,51.49974,1.665378,False
1.903618,1.686502,52.05891,2.649395,False
1.919861,2.398311,52.56393,3.821037,False
1.936707,3.260905,53.17594,5.24087,False
1.953186,4.253078,53.67448,6.876567,False
1.970467,5.457679,54.04053,8.849968,False
1.986603,6.729333,54.18418,10.90474,False
2.003471,8.217824,54.07852,13.25975,False
2.01992,9.817206,53.68095,15.71914,False
2.036781,11.59471,53.2391,18.45242,False
2.053696,13.53227,52.42459,21.32552,False
2.069885,15.52119,51.25737,24.14518,False
2.08667,17.7184,49.61287,27.09434,False
2.103508,20.05013,47.50151,30.02374,False
2.120216,22.47625,44.93404,32.83716,False
2.137253,25.08993,42.16809,35.86808,False
2.154076,27.76363,38.94109,38.68,False
2.170517,30.32922,35.47336,41.07076,False
2.187187,32.87314,31.67695,43.10417,False
2.204247,35.40644,27.55031,44.75866,False
2.220688,37.77286,23.38256,45.9229,False
2.237503,40.1936,19.11914,47.11386,False
2.254036,42.48966,14.78261,47.83616,False
2.271065,44.76174,10.21406,48.10709,False
2.287384,46.84301,5.788248,47.90741,False
2.304298,48.89654,1.199099,47.22323,False
2.320717,50.78518,-3.208826,46.09961,False
2.337891,52.7608,-7.81975,44.92425,False
2.354286,54.60212,-12.19492,43.62922,False
2.371315,56.46749,-16.70406,42.11628,False
2.386719,58.12162,-20.75867,40.6462,False
2.404137,59.87785,-25.19847,38.51982,False
2.419601,61.34554,-28.9932,36.28983,False
2.437248,62.93119,-33.09287,33.88064,False
2.452888,64.21122,-36.4594,31.67383,False
2.471207,65.56487,-40.07902,29.09835,False
2.487488,66.61385,-42.90763,26.64081,False
2.504585,67.56235,-45.45559,23.95534,False
2.520775,68.33195,-47.48302,21.36018,False
2.537521,69.07097,-49.42987,18.86819,False
2.554161,69.68971,-50.99513,16.41315,False
2.571243,70.21839,-52.24235,13.97122,False
2.58741,70.63304,-53.11604,11.76449,False
2.603966,70.98011,-53.72573,9.65894,False
2.621284,71.27211,-54.10283,7.663429,False
2.637451,71.51125,-54.41166,6.029145,False
2.654716,71.7098,-54.55028,4.521766,False
2.671143,71.85453,-54.54624,3.321261,False
2.687325,71.96091,-54.45293,2.376328,False
2.704102,72.03837,-54.31196,1.656862,False
2.721069,72.03837,-54.31196,1.656862,False
2.737679,72.01331,-54.38222,1.893595,False
2.754059,71.96516,-54.56327,2.342345,False
2.770721,71.89125,-54.90437,3.000147,False
2.787674,71.78792,-55.45256,3.849497,False
2.80442,71.65444,-56.22588,4.830045,False
2.820923,71.48695,-57.24329,5.895658,False
2.837494,71.29079,-58.4348,7.143633,False
2.854691,71.03911,-59.98613,8.488558,False
2.870636,70.75518,-61.71706,9.724675,False
2.887222,70.39608,-63.8391,10.95731,False
2.90419,69.95157,-66.34585,12.1145,False
2.920624,69.43596,-69.0871,13.08068,False
2.937569,68.85928,-72.15305,14.1613,False
2.954163,68.1918,-75.4666,14.99095,False
2.971062,67.39306,-79.14052,15.55311,False
2.986534,66.54464,-82.73287,15.76274,False
3.003273,65.48291,-86.84766,15.61707,False
3.020195,64.25068,-91.19555,15.0518,False
3.037598,62.90924,-95.92875,14.43643,False
3.054207,61.45555,-100.574,13.38048,False
3.071091,59.86801,-105.1427,11.87562,False
3.087273,58.24224,-109.3303,10.03845,False
3.104149,56.43774,-113.461,7.731551,False
3.121017,54.52803,-117.3129,5.062071,False
3.138161,52.687,-121.0262,2.488591,False
3.154472,50.93586,-124.106,-0.1246545,False
3.171028,49.17409,-126.7721,-2.882031,False
3.187454,47.45357,-128.974,-5.66755,False
3.204292,45.73425,-130.7915,-8.515129,False
3.220139,44.16513,-132.1167,-11.14909,False
3.237083,42.36621,-133.6358,-14.16881,False
3.252769,40.54042,-134.8061,-17.25025,False
3.269493,38.41626,-135.753,-20.82888,False
3.286156,36.12423,-136.3446,-24.65796,False
3.302872,33.65016,-136.5358,-28.73054,False
3.319557,31.01461,-136.2796,-32.97852,False
3.336349,28.3631,-136.0217,-37.25224,False
3.352989,25.705,-135.3144,-41.42039,False
3.369682,23.02114,-134.161,-45.48703,False
3.386375,20.32856,-132.576,-49.40022,False
3.403137,17.62653,-130.5677,-53.13536,False
3.419708,14.96737,-128.1911,-56.5981,False
3.436165,12.32578,-125.8301,-60.03796,False
3.452919,9.659691,-123.0559,-63.27079,False
3.46936,7.074543,-119.9958,-66.14834,False
3.486412,4.435843,-116.5033,-68.79569,False
3.50267,1.969338,-112.9022,-70.97222,False
3.519318,-0.4976444,-108.972,-72.82191,False
3.536041,-2.97525,-105.0249,-74.67957,False
3.552773,-5.386377,-100.8712,-76.13675,False
3.569656,-7.743617,-96.51347,-77.18579,False
3.586166,-9.968663,-92.129,-77.78763,False
3.603088,-12.16032,-87.55335,-77.96117,False
3.619545,-14.20125,-83.06401,-77.69452,False
3.636047,-16.24719,-78.56365,-77.42722,False
3.652657,-18.20925,-74.04071,-76.71886,False
3.669685,-20.12006,-69.44891,-75.54507,False
3.686569,-21.91024,-64.98862,-73.94641,False
3.704201,-23.66989,-60.46922,-71.83459,False
3.720779,-25.21988,-56.39171,-69.44933,False
3.738091,-26.83905,-52.1322,-66.95761,False
3.754097,-28.23638,-48.39455,-64.2849,False
3.769638,-29.49698,-44.99568,-61.35364,False
3.786346,-30.75199,-41.62091,-57.86449,False
3.802795,-31.89107,-38.60683,-54.12748,False
3.819649,-33.00357,-35.62664,-50.19893,False
3.836655,-34.06928,-32.77181,-46.43561,False
3.853088,-34.98853,-30.30865,-42.86315,False
3.870094,-35.82581,-28.09182,-39.24043,False
3.88662,-36.53432,-26.27385,-35.79253,False
3.903183,-37.14512,-24.79869,-32.42831,False
3.92012,-37.67586,-23.64451,-29.1132,False
3.936821,-38.16155,-22.58829,-26.07946,False
3.953896,-38.57629,-21.84039,-23.14227,False
3.970284,-38.90756,-21.40934,-20.50368,False
3.986618,-39.18122,-21.23016,-18.07967,False
4.004196,-39.42239,-21.26439,-15.73865,False
4.020241,-39.60407,-21.46056,-13.84065,False
4.037094,-39.77075,-21.64053,-12.09946,False
4.053833,-39.90348,-21.92252,-10.63922,False
4.070465,-40.0082,-22.26023,-9.455769,False
4.086075,-40.08574,-22.59421,-8.580233,False
4.103073,-40.14824,-22.92514,-7.89504,False
4.120026,-40.18994,-23.18033,-7.463928,False
4.136597,-40.21021,-23.30436,-7.254385,False
4.153008,-40.21021,-23.30436,-7.254385,False
4.169533,-40.21021,-23.30436,-7.254385,False
4.186317,-40.21021,-23.30436,-7.254385,False
4.203293,-40.21021,-23.30436,-7.254385,False
4.220261,-40.23939,-23.51376,-7.104405,False
4.23671,-40.29507,-23.91339,-6.818175,False
4.25338,-40.38726,-24.55257,-6.434031,False
4.269989,-40.52053,-25.43669,-5.992349,False
4.286606,-40.7012,-26.57718,-5.524548,False
4.303398,-40.9377,-27.99522,-5.054115,False
4.319572,-41.22073,-29.60919,-4.628367,False
4.337029,-41.57205,-31.61259,-4.099893,False
4.353729,-41.96866,-33.78916,-3.634242,False
4.370895,-42.44123,-36.29773,-3.200419,False
4.387123,-42.94698,-38.90853,-2.835307,False
4.403893,-43.53247,-41.86119,-2.501426,False
4.420586,-44.22372,-45.05011,-2.420986,False
4.437035,-44.9566,-48.43113,-2.335701,False
4.453545,-45.81515,-52.04144,-2.560748,False
4.471443,-46.75322,-55.62461,-3.101916,False
4.486931,-47.57127,-58.45264,-3.787377,False
4.503716,-48.45035,-61.19207,-4.713587,False
4.520378,-49.30605,-63.58463,-5.766899,False
4.53717,-50.08942,-65.77498,-6.731192,False
4.553886,-50.83648,-67.63887,-7.758936,False
4.570328,-51.52944,-69.1714,-8.793358,False
4.587067,-52.18043,-70.43708,-9.8258,False
4.603821,-52.76683,-71.42905,-10.79843,False
4.620415,-53.27321,-72.16443,-11.66604,False
4.636192,-53.6636,-72.73137,-12.33493,False
4.653801,-54.11744,-73.28731,-13.13028,False
4.670052,-54.55197,-73.72555,-13.90272,False
4.686226,-54.99894,-74.08401,-14.70301,False
4.703346,-55.48585,-74.37825,-15.57555,False
4.719498,-55.95696,-74.57359,-16.4157,False
4.736244,-56.44541,-74.77612,-17.28675,False
4.753395,-56.83154,-74.6832,-18.28744,False
4.769371,-57.08531,-74.32008,-19.27486,False
4.786522,-57.35834,-73.83348,-20.29438,False
4.803391,-57.6251,-73.26403,-21.24844,False
4.819626,-57.87824,-72.63276,-22.11294,False
4.836136,-58.13567,-71.99078,-22.99209,False
4.852699,-58.38821,-71.26706,-23.8122,False
4.870033,-58.64423,-70.43294,-24.59833,False
4.886467,-58.87722,-69.57584,-25.26937,False
4.903366,-59.10497,-68.63322,-25.87777,False
4.919922,-59.31481,-67.65694,-26.38924,False
4.936363,-59.52311,-66.68776,-26.89699,False
4.954254,-60.06661,-65.97094,-27.5101,False
4.969917,-60.67582,-65.44134,-28.06306,False
4.986633,-61.48425,-64.97588,-28.69662,False
5.00322,-62.44834,-64.59233,-29.38656,False
5.020241,-63.61418,-64.26022,-30.17699,False
5.036461,-64.88734,-64.07063,-31.0466,False
5.053329,-66.39398,-63.89376,-32.05441,False
5.069641,-68.02486,-63.71212,-33.1315,False
5.086411,-69.88967,-63.4889,-34.35259,False
5.103302,-71.96228,-63.19791,-35.69876,False
