t,vx,vy,vz
0,0,0,0
0.01626968,0,0,0
0.0328598,0,0,0
0.0501709,0,0,0
0.06649399,0,0,0
0.08298111,0,0,0
0.1002007,0,0,0
0.1167221,0,0,0
0.1329765,0,0,0
0.1493454,0,0,0
0.165844,0,0,0
0.1825714,0,0,0
0.1992683,0,0,0
0.2161217,0,0,0
0.2325249,0,0,0
0.2495575,0,0,0
0.2662201,0,0,0
0.2827072,0,0,0
0.2993698,0,0,0
0.3159485,0,0,0
0.3325996,0,0,0
0.3494873,0,0,0
0.3661423,0,0,0
0.3826714,0,0,0
0.4001923,0,0,0
0.4172592,0,0,0
0.432869,0,0,0
0.4492378,0,0,0
0.4663277,0,0,0
0.4828949,0,0,0
0.4992905,0,0,0
0.5160522,0,0,0
0.5325546,0,0,0
0.5494118,0,0,0
0.5663147,0,0,0
0.5826492,0,0,0
0.5995636,0,0,0
0.6162376,0,0,0
0.6327438,0,0,0
0.6492844,0,0,0
0.6660881,0,0,0
0.6827583,0,0,0
0.699501,0,0,0
0.7163658,0,0,0
0.7372513,0,0,0
0.7526398,0,0,0
0.7694168,0,0,0
0.7826347,0,0,0
0.7992058,0,0,0
0.8162727,0,0,0
0.832634,0,0,0
0.8495102,0,0,0
0.8661842,0,0,0
0.8832512,0,0,0
0.8993187,0,0,0
0.9162025,0,0,0
0.9325867,0,0,0
0.9493484,0,0,0
0.9663353,0,0,0
0.9825058,0,0,0
0.9993591,0,0,0
1.016502,0,0,0
1.033543,0,0,0
1.049755,0,0,0
1.067753,0,0,0
1.083801,0,0,0
1.100334,0,0,0
1.116398,0,0,0
1.133095,0,0,0
1.150585,0,0,0
1.166759,0,0,0
1.183281,0,0,0
1.199963,0,0,0
1.216892,0,0,0
1.232716,0,0,0
1.249859,0,0,0
1.266922,0,0,0
1.283558,0,0,0
1.299686,0,0,0
1.316151,0,0,0
1.332848,0,0,0
1.349613,0,0,0
1.366684,0,0,0
1.383373,0,0,0
1.400177,0,0,0
1.417336,0,0,0
1.433311,0,0,0
1.450508,0,0,0
1.466766,0,0,0
1.485146,0,0,0
1.500542,0,0,0
1.516876,0,0,0
1.533463,0,0,0
1.550377,0,0,0
1.566998,0,0,0
1.582722,0,0,0
1.599842,0,0,0
1.616665,0,0,0
1.632725,0,0,0
1.649952,0,0,0
1.666355,0,0,0
1.682964,0,0,0
1.699623,0,0,0
1.716377,0,0,0
1.733582,0,0,0
1.749702,0,0,0
1.766411,0,0,0
1.78278,0,0,0
1.799854,0,0,0
1.816105,0,0,0
1.832798,0,0,0
1.849152,0,0,0
1.866562,0,0,0
1.883121,0,0,0
1.900127,0,0,0
1.916607,0,0,0
1.932934,0,0,0
1.949631,0,0,0
1.966488,0,0,0
1.983078,0,0,0
2.000099,0,0,0
2.016445,0,0,0
2.033237,0,0,0
2.049816,0,0,0
2.06657,0,0,0
2.083035,0,0,0
2.099617,0,0,0
2.116665,0,0,0
2.132999,0,0,0
2.150074,0,0,0
2.166565,0,0,0
2.182827,0,0,0
2.199738,0,0,0
2.216259,0,0,0
2.233162,0,0,0
2.249802,0,0,0
2.266674,0,0,0
2.283096,0,0,0
2.299774,0,0,0
2.316711,0,0,0
2.332901,0,0,0
2.349628,0,0,0
2.366539,0,0,0
2.382782,0,0,0
2.399681,0,0,0
2.416451,0,0,0
2.433006,0,0,0
2.449734,0,0,0
2.466534,0,0,0
2.482975,0,0,0
2.499916,0,0,0
2.516941,0,0,0
2.532936,0,0,0
2.549751,0,0,0
2.566513,0,0,0
2.58292,0,0,0
2.599663,0,0,0
2.61681,0,0,0
2.63303,0,0,0
2.649666,0,0,0
2.666256,0,0,0
2.682922,0,0,0
2.699768,0,0,0
2.716339,0,0,0
2.733181,0,0,0
2.749733,0,0,0
2.766792,0,0,0
2.782921,0,0,0
2.799683,0,0,0
2.816658,0,0,0
2.833042,0,0,0
2.849583,0,0,0
2.866394,0,0,0
2.882504,0,0,0
2.899033,0,0,0
2.915882,0,0,0
2.932411,0,0,0
2.949486,0,0,0
2.966145,0,0,0
2.982414,0,0,0
2.999516,0,0,0
3.015942,0,0,0
3.032543,0,0,0
3.049343,0,0,0
3.065716,0,0,0
3.082615,0,0,0
3.099495,0,0,0
3.116047,0,0,0
3.13258,0,0,0
3.1492,0,0,0
3.165955,0,0,0
3.182888,0,0,0
3.199226,0,0,0
3.216316,0,0,0
3.232605,0,0,0
3.249836,0,0,0
3.266106,0,0,0
3.282711,0,0,0
3.299721,0,0,0
3.316288,0,0,0
3.332577,0,0,0
3.349083,0,0,0
3.36657,0,0,0
3.382793,0,0,0
3.398933,0,0,0
3.415699,0,0,0
3.4328,0,0,0
3.449379,0,0,0
3.467171,0,0,0
3.483513,0,0,0
3.500286,0,0,0
3.51709,0,0,0
3.533825,0,0,0
3.550583,0,0,0
3.566551,0,0,0
3.583408,0,0,0
3.600006,0,0,0
3.616951,0,0,0
3.633556,0,0,0
3.650379,0,0,0
3.667046,0,0,0
3.683285,0,0,0
3.700344,0,0,0
3.717289,0,0,0
3.733631,0,0,0
3.750572,0,0,0
3.766853,0,0,0
3.783627,0,0,0
3.800198,0,0,0
3.817413,0,0,0
3.833988,0,0,0
3.850361,0,0,0
3.867119,0,0,0
3.883648,0,0,0
3.900089,0,0,0
3.917267,0,0,0
3.932518,0,0,0
3.949528,0,0,0
3.965405,0,0,0
3.982536,0,0,0
3.999012,0,0,0
4.016373,0,0,0
4.032467,0,0,0
4.049438,0,0,0
4.066887,0,0,0
4.083767,0,0,0
4.099743,0,0,0
4.11655,0,0,0
4.133041,0,0,0
4.150017,0,0,0
4.166431,0,0,0
4.183315,0,0,0
4.199703,0,0,0
4.216831,0,0,0
4.234402,0,0,0
4.24979,0,0,0
4.266323,0,0,0
4.283085,0,0,0
4.299957,0,0,0
4.316624,0,0,0
4.333439,0,0,0
4.350334,0,0,0
4.366726,0,0,0
4.383419,0,0,0
4.39999,0,0,0
4.416767,0,0,0
4.434208,0,0,0
4.450268,0,0,0
4.46674,0,0,0
4.483234,0,0,0
4.500065,0,0,0
4.517078,0,0,0
4.533314,0,0,0
4.550213,0,0,0
4.565929,0,0,0
4.582752,0,0,0
4.599957,0,0,0
4.616718,0,0,0
4.633297,0,0,0
4.650555,0,0,0
4.667072,0,0,0
4.683819,0,0,0
4.699863,0,0,0
4.717113,0,0,0
4.733471,0,0,0
4.75037,0,0,0
4.766834,0,0,0
4.78326,0,0,0
4.800243,0,0,0
4.816959,0,0,0
4.832539,0,0,0
4.849194,0,0,0
4.865948,0,0,0
4.88242,0,0,0
4.89925,0,0,0
4.916126,0,0,0
4.932682,0,0,0
4.949268,0,0,0
4.965977,0,0,0
4.98267,0,0,0
4.998943,0,0,0
5.015568,0,0,0
5.032162,0,0,0
5.048931,0,0,0
5.066349,0,0,0
5.082005,0,0,0
5.098644,0,0,0
5.115337,0,0,0
5.13216,0,0,0
5.149448,0,0,0
5.165943,0,0,0
5.182919,0,0,0
5.199123,0,0,0
5.215939,0,0,0
5.23222,0,0,0
5.249485,0,0,0
5.265942,0,0,0
5.282314,0,0,0
5.299145,0,0,0
5.315693,0,0,0
5.331928,0,0,0
5.348881,0,0,0
5.365307,0,0,0
5.382023,0,0,0
5.39867,0,0,0
5.415524,0,0,0
5.432644,0,0,0
5.449116,0,0,0
5.465351,0,0,0
5.482075,0,0,0
5.499249,0,0,0
5.515545,0,0,0
5.531834,0,0,0
5.548649,0,0,0
5.565296,0,0,0
5.582241,0,0,0
5.599369,0,0,0
5.615505,0,0,0
5.631847,0,0,0
5.649204,0,0,0
5.666149,0,0,0
5.682201,0,0,0
5.699291,0,0,0
5.715481,0,0,0
5.73251,0,0,0
5.748753,0,0,0
5.766087,0,0,0
5.782391,0,0,0
5.798969,0,0,0
5.815762,0,0,0
5.832531,0,0,0
5.849262,0,0,0
5.865925,0,0,0
5.882305,0,0,0
5.898968,0,0,0
5.916172,0,0,0
5.932232,0,0,0
5.949192,0,0,0
5.965412,0,0,0
5.982174,0,0,0
5.999203,0,0,0
6.015575,0,0,0
6.032391,0,0,0
6.049137,0,0,0
6.065937,0,0,0
6.082905,0,0,0
6.099133,0,0,0
6.115833,0,0,0
6.13258,0,0,0
6.149082,0,0,0
6.165203,0,0,0
6.182003,0,0,0
6.199131,0,0,0
6.21603,0,0,0
6.232456,0,0,0
6.248653,0,0,0
6.265369,0,0,0
6.28204,0,0,0
6.298672,0,0,0
6.315731,0,0,0
6.332157,0,0,0
6.348606,0,0,0
6.365749,0,0,0
6.381916,0,0,0
6.39854,0,0,0
6.415546,0,0,0
6.431873,0,0,0
6.448902,0,0,0
6.465481,0,0,0
6.48193,0,0,0
6.498707,0,0,0
6.515636,0,0,0
6.516537,0,0,0
6.532063,0,0,0
6.548855,0,0,0
6.565311,0,0,0
6.591297,0,0,0
6.598705,0,0,0
6.615582,0,0,0
6.633404,0,0,0
6.650043,0,0,0
6.667362,0,0,0
6.68372,0,0,0
6.699047,0,0,0
6.716373,0,0,0
6.732265,0,0,0
6.749134,0,0,0
6.765789,0,0,0
6.782948,0,0,0
6.799458,0,0,0
6.816471,0,0,0
6.832554,0,0,0
6.849667,0,0,0
6.866528,0,0,0
6.88316,0,0,0
6.899479,0,0,0
6.916203,0,0,0
6.932713,0,0,0
6.949429,0,0,0
6.966328,0,0,0
6.983723,0,0,0
6.999516,0,0,0
7.016071,0,0,0
7.032681,0,0,0
7.049282,0,0,0
7.066174,0,0,0
7.082806,0,0,0
7.099636,0,0,0
7.116283,0,0,0
7.132717,0,0,0
7.1506,0,0,0
7.166454,0,0,0
7.183643,0,0,0
7.199902,0,0,0
7.217022,0,0,0
7.232327,0,0,0
7.249035,0,0,0
7.265369,0,0,0
7.281971,0,0,0
7.299191,0,0,0
7.315807,0,0,0
7.332218,0,0,0
7.348995,0,0,0
7.367275,0,0,0
7.383678,0,0,0
7.400143,0,0,0
7.416813,0,0,0
7.43327,0,0,0
7.449871,0,0,0
7.467037,0,0,0
7.483356,0,0,0
7.500217,0,0,0
7.516453,0,0,0
7.533504,0,0,0
7.550205,0,0,0
7.566807,0,0,0
7.583652,0,0,0
7.599964,0,0,0
7.617489,0,0,0
7.63361,0,0,0
7.650677,0,0,0
7.666798,0,0,0
7.682674,0,0,0
7.698978,0,0,0
7.715679,0,0,0
7.732677,0,0,0
7.749264,0,0,0
7.765728,0,0,0
7.783413,0,0,0
7.800404,0,0,0
7.817493,0,0,0
7.832211,0,0,0
7.84869,0,0,0
7.865284,0,0,0
7.882008,0,0,0
7.898945,0,0,0
7.915432,0,0,0
7.932064,0,0,0
7.948757,0,0,0
7.965878,0,0,0
7.982479,0,0,0
7.998768,0,0,0
8.015621,0,0,0
8.032131,0,0,0
8.049915,0,0,0
8.066837,0,0,0
8.083569,0,0,0
8.100246,0,0,0
8.116467,0,0,0
8.133564,0,0,0
8.150555,0,0,0
8.167027,0,0,0
8.183628,0,0,0
8.199757,0,0,0
8.216869,0,0,0
8.23341,0,0,0
8.249958,0,0,0
8.266888,0,0,0
8.283443,0,0,0
8.299725,0,0,0
8.315807,0,0,0
8.332333,0,0,0
8.350185,0,0,0
8.366848,0,0,0
8.383389,0,0,0
8.399914,0,0,0
8.415958,0,0,0
8.431911,0,0,0
8.449215,0,0,0
8.465916,0,0,0
8.482471,0,0,0
8.499302,0,0,0
8.515995,0,0,0
8.53265,0,0,0
8.549084,0,0,0
8.566212,0,0,0
8.58276,0,0,0
8.599606,0,0,0
8.615971,0,0,0
8.632633,0,0,0
8.649296,0,0,0
8.665829,0,0,0
8.682484,0,0,0
8.699352,0,0,0
8.716328,0,0,0
8.732464,0,0,0
8.749256,0,0,0
8.76601,0,0,0
8.78265,0,0,0
8.799313,0,0,0
8.816044,0,0,0
8.833286,0,0,0
8.850269,0,0,0
8.86652,0,0,0
8.883076,0,0,0
8.900143,0,0,0
8.916668,0,0,0
8.933292,0,0,0
8.950649,0,0,0
8.966778,0,0,0
8.984364,0,0,0
9.000195,0,0,0
9.016293,0,0,0
9.032497,0,0,0
9.049824,0,0,0
9.065792,0,0,0
9.082699,0,0,0
9.099209,0,0,0
9.115818,0,0,0
9.131992,0,0,0
9.148594,0,0,0
9.165569,0,0,0
9.182568,0,0,0
9.198895,0,0,0
9.215611,0,0,0
9.232014,0,0,0
9.248768,0,0,0
9.265568,0,0,0
9.282734,0,0,0
9.299183,0,0,0
9.31612,0,0,0
9.332737,0,0,0
9.349224,0,0,0
9.36578,0,0,0
9.382633,0,0,0
9.399105,0,0,0
9.417027,0,0,0
9.432842,0,0,0
9.449017,0,0,0
9.465847,0,0,0
9.4827,0,0,0
9.499073,0,0,0
9.515949,0,0,0
9.532558,0,0,0
9.549374,0,0,0
9.565647,0,0,0
9.583042,0,0,0
9.599041,0,0,0
9.616543,0,0,0
9.632435,0,0,0
9.649296,0,0,0
9.666843,0,0,0
9.683308,0,0,0
9.700115,0,0,0
9.716358,0,0,0
9.733341,0,0,0
9.750202,0,0,0
9.766178,0,0,0
9.783314,0,0,0
9.800007,0,0,0
9.816952,0,0,0
9.833462,0,0,0
9.850094,0,0,0
9.867092,0,0,0
9.883579,0,0,0
9.90015,0,0,0
9.91618,0,0,0
9.933704,0,0,0
9.94981,0,0,0
9.966953,0,0,0
9.983387,0,0,0
9.999836,0,0,0
10.01673,0,0,0
10.03215,0,0,0
10.04907,0,0,0
10.0655,0,0,0
10.08335,0,0,0
10.09983,0,0,0
10.11703,0,0,0
10.13445,0,0,0
10.14911,0,0,0
10.16626,0,0,0
10.18233,0,0,0
10.1997,0,0,0
10.21601,0,0,0
10.23352,0,0,0
10.24994,0,0,0
10.26694,0,0,0
10.28341,0,0,0
10.29951,0,0,0
10.31658,0,0,0
10.33334,0,0,0
10.35003,0,0,0
10.36685,0,0,0
10.38315,0,0,0
10.40023,0,0,0
10.41624,0,0,0
10.43347,0,0,0
10.44915,0,0,0
10.46612,0,0,0
10.48234,0,0,0
10.4991,0,0,0
10.51639,0,0,0
10.53364,0,0,0
10.54974,0,0,0
10.56694,0,0,0
10.58331,0,0,0
10.59985,0,0,0
10.61647,0,0,0
10.63355,0,0,0
10.65032,0,0,0
10.66555,0,0,0
10.68213,0,0,0
10.69973,0,0,0
10.71467,0,0,0
10.73262,0,0,0
10.74793,0,0,0
10.76465,0,0,0
10.78152,0,0,0
10.79799,0,0,0
10.81501,0,0,0
10.83147,0,0,0
10.84801,0,0,0
10.86486,0,0,0
10.88135,0,0,0
10.8982,0,0,0
10.91462,0,0,0
10.93133,0,0,0
10.94802,0,0,0
10.96559,0,0,0
10.98141,0,0,0
10.99841,0,0,0
11.01502,0,0,0
11.03149,0,0,0
11.04847,0,0,0
11.06514,0,0,0
11.08178,0,0,0
11.09824,0,0,0
11.11518,0,0,0
11.13121,0,0,0
11.14795,0,0,0
11.16467,0,0,0
11.18118,0,0,0
11.19817,0,0,0
11.21485,0,0,0
11.23115,0,0,0
11.24845,0,0,0
11.26462,0,0,0
11.28141,0,0,0
11.29831,0,0,0
11.31508,0,0,0
11.33119,0,0,0
11.34791,0,0,0
11.36461,0,0,0
11.38147,0,0,0
11.39842,0,0,0
11.41488,0,0,0
11.43129,0,0,0
11.44866,0,0,0
11.46466,0,0,0
11.48153,0,0,0
11.49812,0,0,0
11.51525,0,0,0
11.53177,0,0,0
11.54843,0,0,0
11.56498,0,0,0
11.58197,0,0,0
11.59851,0,0,0
11.61521,0,0,0
11.63212,0,0,0
11.64849,0,0,0
11.66514,0,0,0
11.68148,0,0,0
11.69791,0,0,0
