sample,t,vx,vy,vz
0,0.0,0.0,0.0,0.0
1,0.01660156,0.0,0.0,0.0
2,0.03335571,0.0,0.0,0.0
3,0.04995728,0.0,0.0,0.0
4,0.06661987,0.0,0.0,0.0
5,0.08331299,0.0,0.0,0.0
6,0.09991455,0.0,0.0,0.0
7,0.1165771,0.0,0.0,0.0
8,0.1333313,0.0,0.0,0.0
9,0.1499329,0.0,0.0,0.0
10,0.1665649,0.0,0.0,0.0
11,0.1832581,0.0,0.0,0.0
12,0.1999207,0.0,0.0,0.0
13,0.2165527,0.0,0.0,0.0
14,0.2333069,0.0,0.0,0.0
15,0.249939,0.0,0.0,0.0
16,0.2666321,0.0,0.0,0.0
17,0.2832642,0.0,0.0,0.0
18,0.2999573,0.0,0.0,0.0
19,0.3166504,0.0,0.0,0.0
20,0.3331909,0.0,0.0,0.0
21,0.3499451,0.0,0.0,0.0
22,0.3665466,0.0,0.0,0.0
23,0.3832397,0.0,0.0,0.0
24,0.400177,0.0,0.0,0.0
25,0.4165344,0.0,0.0,0.0
26,0.4332581,0.0,0.0,0.0
27,0.4498901,0.0,0.0,0.0
28,0.4665833,0.0,0.0,0.0
29,0.4833069,0.0,0.0,0.0
30,0.4999084,0.0,0.0,0.0
31,0.5167847,0.0,0.0,0.0
32,0.5332642,0.0,0.0,0.0
33,0.5498962,0.0,0.0,0.0
34,0.5665283,0.0,0.0,0.0
35,0.5832214,0.0,0.0,0.0
36,0.599884,0.0,0.0,0.0
37,0.6166077,0.0,0.0,0.0
38,0.6331482,0.0,0.0,0.0
39,0.6498413,0.0,0.0,0.0
40,0.6665649,0.0,0.0,0.0
41,0.6831665,0.0,0.0,0.0
42,0.6999207,0.0,0.0,0.0
43,0.7165222,4.820238,20.51965,22.1977
44,0.7331543,17.49666,30.08404,90.80875
45,0.7498474,9.645957,32.52732,81.9338
46,0.76651,9.645957,32.52732,81.9338
47,0.7831421,1.165174,44.50974,117.5302
48,0.7998657,-12.10265,33.73231,87.75317
49,0.8165588,-19.37804,30.0934,83.28115
50,0.8331604,-15.89522,15.20119,78.07851
51,0.849884,-2.017824,15.21803,72.66724
52,0.8665466,-2.017824,15.21803,72.66724
53,0.8831177,3.737285,-8.273299,66.06248
54,0.8998413,1.461728,-15.0438,68.40247
55,0.9164429,-1.899028,-25.34068,68.9426
56,0.9332275,-15.55758,-30.15682,67.39595
57,0.9498596,-19.9889,-28.70333,75.89417
58,0.9666443,-19.9889,-28.70333,75.89417
59,0.9832153,-34.43865,-12.40642,61.41981
