sample,t,x,y,z, HasCollision
0,0.0,-21.60845,-95.60003,-39.14906,False
1,0.01708984,-21.61742,-95.60065,-39.09547,False
2,0.03349304,-21.61742,-95.60065,-39.09547,False
3,0.05026245,-21.62638,-95.60126,-39.04187,False
4,0.06698608,-21.62541,-95.54717,-39.04768,False
5,0.08337402,-21.62541,-95.54717,-39.04768,False
6,0.1003113,-21.6334,-95.49368,-38.99991,False
7,0.1169128,-21.6334,-95.49368,-38.99991,False
8,0.1334686,-21.6334,-95.49368,-38.99991,False
9,0.1502533,-21.64138,-95.44015,-38.95216,False
10,0.167038,-21.6404,-95.38607,-38.95803,False
11,0.1837463,-21.58719,-95.38607,-38.94914,False
12,0.2001953,-21.58719,-95.38607,-38.94914,False
13,0.2169342,-21.58719,-95.38607,-38.94914,False
14,0.23349,-21.58719,-95.38607,-38.94914,False
15,0.25,-21.58719,-95.38607,-38.94914,False
16,0.2668304,-21.58719,-95.38607,-38.94914,False
17,0.2837372,-21.58719,-95.38607,-38.94914,False
18,0.3001404,-21.58621,-95.33199,-38.95503,False
19,0.316864,-21.58621,-95.33199,-38.95503,False
20,0.3335571,-21.58621,-95.33199,-38.95503,False
21,0.3504028,-21.59417,-95.27845,-38.90735,False
22,0.3669128,-21.60311,-95.27897,-38.85376,False
23,0.3835297,-21.60311,-95.27897,-38.85376,False
24,0.4001312,-21.60311,-95.27897,-38.85376,False
25,0.4170227,-21.54986,-95.27897,-38.84488,False
26,0.4335175,-21.54986,-95.27897,-38.84488,False
27,0.4504242,-21.4966,-95.27897,-38.83603,False
28,0.4668274,-21.44236,-95.22489,-38.83314,False
29,0.4836273,-21.28942,-95.11724,-38.76511,False
30,0.5002747,-21.0471,-95.01047,-38.57273,False
31,0.5169373,-20.80308,-94.84945,-38.38698,False
32,0.5332184,-20.80308,-94.84945,-38.38698,False
33,0.5502777,-20.35477,-94.5277,-37.74899,False
34,0.5667877,-20.09983,-94.14956,-37.25998,False
35,0.5834503,-19.78735,-93.71576,-36.77093,False
36,0.600235,-19.63591,-93.33431,-36.30138,False
37,0.6168213,-19.63591,-93.33431,-36.30138,False
38,0.6335602,-19.8054,-93.48729,-35.53703,False
39,0.6501923,-20.28505,-94.34243,-34.95376,False
40,0.6669922,-20.8649,-95.73177,-34.11315,False
41,0.6836395,-21.58202,-97.49421,-33.16456,False
42,0.7000885,-22.5047,-99.78948,-32.06864,False
43,0.7169342,-23.64283,-102.3565,-31.14976,False
44,0.7335358,-23.64283,-102.3565,-31.14976,False
45,0.7503052,-25.47092,-106.2822,-29.43253,False
46,0.7667236,-26.04238,-106.8768,-28.58491,False
47,0.7836609,-26.39265,-106.8864,-27.9875,False
48,0.8001404,-26.59839,-106.7962,-27.53111,False
49,0.816803,-26.59839,-106.7962,-27.53111,False
50,0.8335876,-26.71676,-106.7714,-27.22265,False
51,0.8500824,-26.72786,-107.0392,-27.16402,False
52,0.8669434,-26.97164,-107.4702,-27.14746,False
53,0.8833771,-27.26333,-108.0142,-27.1958,False
54,0.9003448,-27.5545,-108.5583,-27.24693,False
55,0.9169312,-27.69195,-109.0394,-27.16047,False
56,0.9335785,-27.69195,-109.0394,-27.16047,False
57,0.9501953,-27.61742,-110.0015,-26.92471,False
58,0.9667969,-27.34651,-110.5912,-26.76511,False
59,0.9835815,-26.79325,-111.1219,-26.49945,False
60,1.000046,-25.97578,-111.2578,-26.01929,False
61,1.016846,-25.97578,-111.2578,-26.01929,False
62,1.033478,-24.15066,-110.8743,-25.03559,False
63,1.050156,-23.32698,-110.7851,-24.5149,False
64,1.066772,-22.50601,-110.7441,-23.94616,False
65,1.083435,-21.97663,-110.8649,-23.42884,False
66,1.100159,-21.63058,-111.0331,-22.88757,False
67,1.116837,-21.63058,-111.0331,-22.88757,False
68,1.133453,-21.41967,-111.1405,-21.8219,False
69,1.150146,-21.44551,-110.8554,-21.22242,False
70,1.166748,-21.52374,-110.5741,-20.68579,False
71,1.183365,-21.54077,-110.3995,-20.14199,False
72,1.200073,-21.50376,-110.2702,-19.53685,False
73,1.21698,-21.35814,-110.0694,-18.80729,False
74,1.233307,-21.35814,-110.0694,-18.80729,False
75,1.250031,-20.52544,-109.0175,-16.62247,False
76,1.266708,-19.94309,-108.2194,-15.24423,False
77,1.283508,-19.41716,-107.2908,-13.82817,False
78,1.300308,-18.98676,-106.2687,-12.59591,False
79,1.316666,-18.98676,-106.2687,-12.59591,False
80,1.333603,-18.66134,-103.5176,-10.40124,False
81,1.350128,-18.73781,-102.183,-9.754026,False
82,1.366867,-18.86557,-100.8128,-9.234224,False
83,1.383621,-18.97272,-99.3657,-8.89133,False
84,1.400162,-19.06993,-97.65793,-8.634082,False
85,1.416641,-19.06993,-97.65793,-8.634082,False
86,1.433472,-19.57091,-93.44308,-8.351757,False
87,1.45047,-20.27382,-90.98627,-8.604151,False
88,1.466705,-20.89639,-88.93542,-8.949141,False
89,1.483582,-21.20572,-87.18523,-9.629014,False
90,1.500046,-21.1705,-85.51418,-10.38754,False
91,1.516632,-21.1705,-85.51418,-10.38754,False
92,1.533401,-20.79999,-81.88105,-12.66582,False
93,1.550064,-20.59014,-80.0843,-14.23653,False
94,1.566742,-20.28421,-78.54419,-16.04931,False
95,1.583481,-20.01759,-77.4267,-18.522,False
96,1.600235,-19.59925,-77.02747,-21.6532,False
97,1.617218,-19.1746,-77.32392,-25.27982,False
98,1.633194,-19.1746,-77.32392,-25.27982,False
99,1.650177,-18.43887,-78.52496,-32.4674,False
100,1.666733,-18.34427,-78.93119,-35.62298,False
101,1.683487,-18.5125,-78.94151,-38.73151,False
102,1.700272,-18.54491,-78.46442,-41.48758,False
103,1.716568,-18.54491,-78.46442,-41.48758,False
104,1.733475,-17.8856,-77.1756,-46.34835,False
105,1.749863,-17.54533,-76.79015,-48.66944,False
106,1.766556,-17.16094,-76.67783,-50.95511,False
107,1.783539,-16.77675,-76.8834,-53.2526,False
108,1.800354,-16.461,-76.99485,-55.09254,False
109,1.816772,-16.461,-76.99485,-55.09254,False
110,1.833359,-16.14853,-76.64801,-57.8808,False
111,1.850159,-16.04939,-76.61857,-59.18635,False
112,1.866577,-16.04469,-76.78687,-60.45181,False
113,1.883347,-15.92175,-77.21515,-61.58035,False
114,1.899872,-15.75005,-77.72816,-62.73177,False
115,1.916397,-15.75005,-77.72816,-62.73177,False
116,1.933441,-15.54906,-79.11134,-63.78488,False
117,1.94989,-15.52136,-79.73429,-64.26535,False
118,1.966415,-15.43603,-80.38722,-64.83755,False
119,1.983078,-15.36897,-81.16529,-65.28726,False
120,1.999756,-15.27584,-82.17883,-65.33109,False
121,2.016373,-15.27584,-82.17883,-65.33109,False
122,2.033371,-14.57016,-82.72513,-64.81413,False
123,2.049957,-14.13079,-82.89513,-63.89279,False
124,2.066452,-13.69846,-83.18671,-62.84636,False
125,2.08313,-13.25379,-83.67557,-61.81407,False
126,2.100021,-12.91257,-84.44209,-60.95402,False
127,2.116501,-12.91257,-84.44209,-60.95402,False
128,2.133179,-12.14598,-86.96723,-59.80535,False
129,2.150146,-11.68794,-88.66188,-59.01987,False
130,2.166611,-11.22911,-90.21341,-58.17085,False
131,2.183365,-10.77358,-91.57387,-57.20611,False
132,2.199966,-10.31647,-92.8396,-56.15983,False
133,2.216583,-10.31647,-92.8396,-56.15983,False
134,2.233032,-9.498772,-95.49786,-54.25574,False
135,2.249939,-8.952671,-96.89243,-53.38562,False
136,2.266312,-8.431562,-98.10108,-52.70815,False
137,2.283447,-7.715857,-99.36929,-51.97191,False
138,2.299698,-6.704165,-100.5877,-51.18317,False
139,2.316422,-6.704165,-100.5877,-51.18317,False
140,2.333115,-3.674489,-102.1394,-49.2406,False
141,2.350159,-1.926559,-102.2384,-48.22632,False
142,2.366547,-0.2489137,-102.4885,-47.28287,False
143,2.383133,1.554578,-103.0536,-46.40178,False
144,2.400162,3.537313,-103.7805,-45.49195,False
145,2.416519,3.537313,-103.7805,-45.49195,False
146,2.43335,7.890448,-104.991,-43.91345,False
147,2.450089,10.04492,-105.524,-43.34494,False
148,2.466614,12.10145,-105.9357,-42.97058,False
149,2.483124,14.39803,-106.4622,-42.49009,False
150,2.499786,16.34458,-106.9825,-42.05967,False
151,2.516464,16.34458,-106.9825,-42.05967,False
152,2.533157,19.12578,-108.0119,-41.1701,False
153,2.549652,19.85365,-108.2511,-40.61916,False
154,2.566299,20.27921,-108.434,-39.96912,False
155,2.583069,20.38128,-108.6665,-39.32293,False
156,2.599869,20.14339,-109.0078,-38.40301,False
157,2.616516,20.14339,-109.0078,-38.40301,False
158,2.633331,19.14894,-110.0533,-35.83301,False
159,2.649811,18.62707,-110.7482,-34.38923,False
160,2.666611,17.99988,-111.4251,-32.77483,False
161,2.683395,17.50851,-112.0342,-31.29565,False
162,2.699921,17.09022,-112.4751,-30.04801,False
163,2.716339,17.09022,-112.4751,-30.04801,False
164,2.733017,16.75754,-113.0763,-28.00098,False
165,2.750061,16.85398,-113.0247,-27.19328,False
166,2.766647,16.99602,-112.9215,-26.49918,False
167,2.783295,17.30167,-112.7141,-25.93172,False
168,2.79982,17.60285,-112.3997,-25.41671,False
