Collision k, Collision time, Ball Position, Ball Color
1,179.96,(6-6),Green
2,180.5,(6-5),Green
3,180.7,(6-4),Green
4,181.22,(6-3),Green
5,181.44,(6-2),Green
6,181.64,(6-1),Green
7,181.94,(6-0),Green
8,183,(5-1),Green
9,184.32,(4-2),Green
10,185.42,(3-3),Green
11,186.54,(2-4),Green
12,187.64,(1-5),Green
13,188.36,(0-6),Green
14,188.74,(0-5),Green
15,189.08,(0-4),Green
16,189.36,(0-3),Green
17,189.64,(0-2),Green
18,190,(0-1),Green
19,190.28,(0-0),Green
