Collision k, Collision time, Ball Position, Ball Color
1,38.18,(4-2),Green
2,40.44,(4-0),Green
3,41.52,(3-1),Green
4,42.66,(2-0),Green
5,43.54,(1-1),Green
6,44.62,(0-0),Green
7,45.94,(0-2),Green
8,47.12,(0-4),Green
9,47.98,(1-3),Green
10,48.86,(2-2),Green
11,50.34,(2-4),Green
12,51.74,(3-3),Green
13,53.14,(4-4),Green
