Col. k, Type Ball k, Pos. Ball k, Time until collision k + 1,                               Type Ball k+1, Pos. Ball k+1, NJS, ArcLenghRatio, Avg. Speed, Std. Dev. Speed, Avg. Acce., Std. Dev. Acce.
0,Origin,(Do not apply-Do not apply),2.973,Green, (6-6),4.455065,2.060405,37.3161,59.25381,1927.958,3902.221
1,Green,(6-6),1.560,Green, (6-4),3.713635,2.706208,51.79544,52.00362,2475.682,3487.611
2,Green,(6-4),1.080,Green, (6-2),3.410881,3.014465,56.67143,47.20478,2601.842,3451.82
3,Green,(6-2),1.060,Green, (6-0),3.324109,1.578562,42.70119,35.93908,2214.859,2881.004
4,Green,(6-0),0.720,Green, (5-1),3.013054,1.684962,31.00253,21.71802,1507.619,1586.816
5,Green,(5-1),0.900,Green, (4-0),3.24001,1.62894,29.00716,18.51145,1513.114,1585.782
6,Green,(4-0),0.980,Green, (3-1),3.31727,1.88944,31.54657,21.38284,1676.569,1897.447
7,Green,(3-1),1.100,Green, (2-0),3.338456,1.752462,28.66153,18.29803,1371.636,1524.28
8,Green,(2-0),0.880,Green, (1-1),3.150452,2.232486,36.17405,26.65355,2239.094,3826.084
9,Green,(1-1),1.200,Green, (0-0),3.564107,1.89861,35.40509,27.33854,2241.606,4379.658
10,Green,(0-0),0.960,Green, (0-2),3.130526,1.638875,41.7488,37.08937,2052.314,2521.842
11,Green,(0-2),1.180,Green, (0-4),3.470144,1.884324,41.69445,41.92501,2029.412,2824.917
12,Green,(0-4),1.060,Green, (0-6),3.306795,1.458388,36.79042,22.25969,2057.034,2616.772
13,Green,(0-6),1.080,Green, (1-5),3.445553,2.085763,35.19905,23.7322,1742.457,1821.929
14,Green,(1-5),1.320,Green, (1-3),3.693289,2.365506,44.69106,33.48658,2890.996,5326.381
15,Green,(1-3),0.860,Green, (2-4),3.292453,1.729848,33.43797,22.14445,1912.004,1985.677
16,Green,(2-4),1.160,Green, (3-3),3.502938,3.135216,41.67992,35.20549,2048.251,2421.33
17,Green,(3-3),1.080,Green, (2-2),3.42962,2.386811,39.40027,37.29013,2194.828,3754.438
18,Green,(2-2),1.220,Green, (4-2),3.509727,1.742941,39.59612,26.68216,1887.426,1878.263
19,Green,(4-2),1.520,Green, (5-3),3.739392,3.172425,36.00558,29.64256,1532.271,1857.662
20,Green,(5-3),1.140,Green, (4-4),3.613038,2.739754,39.46292,31.07876,3193.847,9492.141
21,Green,(4-4),1.260,Green, (3-5),3.618646,2.436548,36.21081,32.79963,1785.348,2253.863
22,Green,(3-5),1.160,Green, (2-6),3.529986,1.86022,32.89604,28.92482,1731.025,2196.666
23,Green,(2-6),1.480,Green, (4-6),3.757852,1.725662,30.85918,21.15354,1839.147,3353.729
24,Green,(4-6),1.740,Green, (5-5),3.928917,2.738647,29.57908,29.63622,1555.727,2196.923
